channel,funnel,month,week,Day,Session source,Session medium,Session campaign,Event name,Total users,New users,Event count,Event value,Sessions,Engaged sessions,Average session duration,Bounce rate
Direct,관심,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),add_to_cart,1,0,1,138000,1,1,13.213255,0
Direct,결제진행,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),begin_checkout,1,0,1,138000,1,1,0,0
Direct,유입,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),first_visit,16,17,17,0,16,11,0.0000791875,0.3125
Direct,기타,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),form_start,2,0,2,0,2,2,5.9034895,0
Direct,기타,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),form_submit,2,0,2,0,2,2,0,0
Direct,유입,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),page_view,17,0,54,0,22,15,88.03523732,0.3181818182
Direct,활동,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),scroll,11,0,21,0,11,10,17.80211309,0.09090909091
Direct,활동,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),select_item,2,0,2,0,2,2,15.1422705,0
Direct,유입,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),session_start,17,0,24,0,23,15,0,0.347826087
Direct,활동,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),user_engagement,10,0,25,0,14,12,123.9570158,0.1428571429
Direct,활동,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),view_item,7,0,7,703300,7,4,2.272329857,0.4285714286
Direct,활동,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),view_item_list,6,0,14,0,8,8,2.039179625,0
Direct,활동,2025-03-01,2025-03-17,2025-03-20,(direct),(none),(direct),view_search_results,1,0,2,0,2,1,4.98406,0.5
구분 불가 (not set),활동,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),click,2,0,2,0,2,0,3.623163,1
구분 불가 (not set),유입,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),page_view,6,0,73,0,6,0,156.433572,1
구분 불가 (not set),활동,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),scroll,4,0,39,0,4,0,93.848838,1
구분 불가 (not set),활동,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),select_item,1,0,25,0,1,0,204.59886,1
구분 불가 (not set),활동,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),user_engagement,5,0,39,0,5,0,74.3416556,1
구분 불가 (not set),활동,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),view_item,1,0,26,2688400,1,0,0,1
구분 불가 (not set),활동,2025-03-01,2025-03-17,2025-03-20,(not set),(not set),(not set),view_item_list,3,0,29,0,3,0,0,1
자사 (디버깅),유입,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),first_visit,1,1,1,0,1,1,0,0
자사 (디버깅),기타,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),form_start,1,0,1,0,1,1,3.032933,0
자사 (디버깅),기타,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),form_submit,1,0,2,0,1,1,0,0
자사 (디버깅),유입,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),page_view,2,0,21,0,3,3,577.3750623,0
자사 (디버깅),활동,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),scroll,2,0,7,0,2,2,81.674297,0
자사 (디버깅),활동,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),select_item,1,0,4,0,2,2,0.229052,0
자사 (디버깅),유입,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),session_start,2,0,3,0,3,3,0,0
자사 (디버깅),활동,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),user_engagement,2,0,17,0,3,3,521.0835343,0
자사 (디버깅),활동,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),view_item,2,0,7,749200,3,3,0,0
자사 (디버깅),활동,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),view_item_list,2,0,9,0,3,3,0,0
자사 (디버깅),활동,2025-03-01,2025-03-17,2025-03-20,antome.cafe24.com,referral,(referral),view_search_results,1,0,2,0,1,1,8.776305,0
메타 광고,유입,2025-03-01,2025-03-17,2025-03-20,facebook.com,referral,(referral),first_visit,1,1,1,0,1,0,0,1
메타 광고,유입,2025-03-01,2025-03-17,2025-03-20,facebook.com,referral,(referral),page_view,1,0,1,0,1,0,0,1
메타 광고,유입,2025-03-01,2025-03-17,2025-03-20,facebook.com,referral,(referral),session_start,1,0,1,0,1,0,0,1
메타 광고,유입,2025-03-01,2025-03-17,2025-03-20,ig,paid,120217103650280122,first_visit,2,2,2,0,2,1,0,0.5
메타 광고,기타,2025-03-01,2025-03-17,2025-03-20,ig,paid,120217103650280122,form_start,1,0,1,0,1,1,5.282281,0
메타 광고,기타,2025-03-01,2025-03-17,2025-03-20,ig,paid,120217103650280122,form_submit,1,0,1,0,1,1,0.4307,0
메타 광고,유입,2025-03-01,2025-03-17,2025-03-20,ig,paid,120217103650280122,page_view,2,0,10,0,2,1,16.0055755,0.5
