일 구분,brand,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-13,앳드맹,21855.0,1766,60,1.0,248000.0,actual,actual
2025-11-14,앳드맹,1608.0,141,7,1.0,169000.0,actual,actual
2025-11-18,앳드맹,0.0,0,0,0.0,0.0,actual,actual
2025-11-19,앳드맹,0.0,0,0,0.0,0.0,actual,actual
2025-11-28,앳드맹,42719.0,3715,100,2.0,342720.0,actual,actual
2025-11-29,앳드맹,43065.0,2802,90,1.0,452300.0,actual,actual
2025-11-30,앳드맹,31267.0,1329,55,3.0,511720.0,actual,actual
2025-12-01,앳드맹,35511.0,1771,53,2.0,101120.0,actual,actual
2025-12-02,앳드맹,28557.0,1038,29,1.0,171360.0,actual,actual
2025-12-03,앳드맹,30995.0,1199,40,0.0,0.0,actual,actual
2025-12-04,앳드맹,27602.0,1190,32,1.0,171360.0,actual,actual
2025-12-05,앳드맹,29919.0,1166,33,2.0,218930.0,actual,actual
2025-12-06,앳드맹,24693.0,1069,32,6.0,629600.0,actual,actual
2025-12-07,앳드맹,38686.0,2389,65,0.0,0.0,actual,actual
2025-12-08,앳드맹,20993.0,1316,27,0.0,0.0,actual,actual
2025-12-09,앳드맹,31405.0,1765,45,3.0,339730.0,actual,actual
2025-12-10,앳드맹,29753.0,1730,29,0.0,0.0,actual,actual
2025-12-11,앳드맹,31806.0,1678,43,0.0,0.0,actual,actual
2025-12-12,앳드맹,29786.0,1527,44,2.0,221920.0,actual,actual
2025-12-13,앳드맹,27208.0,1744,55,2.0,160640.0,actual,actual
2025-12-14,앳드맹,32769.0,1989,49,1.0,101120.0,actual,actual
2025-12-15,앳드맹,32183.0,1812,68,1.0,171360.0,actual,actual
2025-12-16,앳드맹,30724.0,1639,57,1.0,171360.0,actual,actual
2025-12-17,앳드맹,30071.0,1556,60,1.0,169000.0,actual,actual
2025-12-18,앳드맹,29770.0,1529,76,4.0,675920.0,actual,actual
2025-12-19,앳드맹,28082.0,1682,65,0.0,0.0,actual,actual
2025-12-20,앳드맹,26236.0,1197,55,1.0,167552.0,actual,actual
2025-12-21,앳드맹,33840.0,1670,83,1.0,167552.0,actual,actual
2025-12-22,앳드맹,2269.0,179,5,0.0,0.0,actual,actual
2025-12-23,앳드맹,2185.0,177,4,0.0,0.0,actual,actual
2025-12-24,앳드맹,26386.067240003642,2356,142,0.2289539972308688,39044.52968682228,forecast,prophet_full
2025-12-25,앳드맹,28760.6211035855,2576,153,0.7283847108717378,114526.63787286464,forecast,prophet_full
2025-12-26,앳드맹,30017.319760935232,2670,148,0.4431734867235074,74577.7431258627,forecast,prophet_full
2025-12-27,앳드맹,27136.93152773143,2464,158,0.26644195428009004,50152.51190164912,forecast,prophet_full
2025-12-28,앳드맹,29655.06738170859,2629,158,0.6230645791581625,80558.95889884265,forecast,prophet_full
2025-12-29,앳드맹,26307.581253446915,2355,142,0.5452246448389866,68400.7666108489,forecast,prophet_full
2025-12-30,앳드맹,24236.032651536,2204,142,0.2503574867318228,35742.4624608202,forecast,prophet_full
2025-12-31,앳드맹,26354.47099070668,2369,143,0.22479907338835692,38768.9574732005,forecast,prophet_full
2026-01-01,앳드맹,28729.02485428433,2590,154,0.7242297870285026,114251.06565911623,forecast,prophet_full
2026-01-02,앳드맹,29985.72351164018,2684,149,0.4390185628805876,74302.17091216861,forecast,prophet_full
2026-01-03,앳드맹,27105.335278436698,2477,159,0.2622870304378335,49876.93968804073,forecast,prophet_full
2026-01-04,앳드맹,29623.471132409442,2643,159,0.6189096553162305,80283.38668528947,forecast,prophet_full
2026-01-05,앳드맹,26275.985004177695,2369,143,0.5410697209967132,68125.19439719291,forecast,prophet_full
2026-01-06,앳드맹,24204.4364022426,2217,143,0.24620256289001397,35466.89024724818,forecast,prophet_full
2026-01-07,앳드맹,26322.874741416777,2382,144,0.22064414954597167,38493.38525957941,forecast,prophet_full
2026-01-08,앳드맹,28697.428604995253,2603,155,0.7200748631861175,113975.49344548974,forecast,prophet_full
2026-01-09,앳드맹,29954.12726234251,2697,150,0.43486363903720415,74026.59869841493,forecast,prophet_full
2026-01-10,앳드맹,27073.739029142624,2491,160,0.25813210659506924,49601.36747435835,forecast,prophet_full
2026-01-11,앳드맹,29591.874883117907,2656,160,0.614754731473396,80007.81447158895,forecast,prophet_full
2026-01-12,앳드맹,26244.388754875934,2382,144,0.5369147971539632,67849.62218353813,forecast,prophet_full
2026-01-13,앳드맹,24172.840152945882,2230,144,0.2420476390471034,35191.31803356738,forecast,prophet_full
2026-01-14,앳드맹,26291.278492119814,2395,145,0.21648922570345974,38217.813045957635,forecast,prophet_full
2026-01-15,앳드맹,28665.832355695442,2616,156,0.7159199393430771,113699.92123179635,forecast,prophet_full
2026-01-16,앳드맹,29922.531013050066,2710,151,0.430708715194748,73751.02648478046,forecast,prophet_full
2026-01-17,앳드맹,27042.14277984733,2504,162,0.25397718275184034,49325.79526066028,forecast,prophet_full
2026-01-18,앳드맹,29560.278633822563,2669,161,0.6105998076310128,79732.24225796209,forecast,prophet_full
2026-01-19,앳드맹,26212.79250557417,2395,145,0.5327598733112131,67574.04996988333,forecast,prophet_full
2026-01-20,앳드맹,24141.243903656516,2243,146,0.23789271520409375,34915.74581985433,forecast,prophet_full
2026-01-21,앳드맹,26259.682242829913,2409,146,0.2123343018610746,37942.24083233652,forecast,prophet_full
2026-01-22,앳드맹,28634.236106399636,2630,157,0.7117650155001694,113424.34901808138,forecast,prophet_full
