Session campaign,결제진행,관심,구매완료,유입,활동,Revenue,CVR
(direct),12,77,0,562,209,0.0,0.0
(not set),0,10,0,36,26,0.0,0.0
(organic),28,159,1,444,329,0.0,0.22522522522522523
(referral),13,89,0,378,175,0.0,0.0
120235760558320611,0,0,0,3,0,0.0,0.0
250331_CPL_optimization,0,0,0,7,3,0.0,0.0
[GM]250731_ CPL최적화_lead,10,64,6,425,102,0.0,1.411764705882353
brunch_contact,1,5,1,6,1,0.0,16.666666666666664
eopla_company_page,0,1,0,3,2,0.0,0.0
eopla_contact,0,0,0,3,1,0.0,0.0
fb_conv_former_landing_250730,0,0,0,3,1,0.0,0.0
google_sa_all,0,1,0,5,3,0.0,0.0
inblog_contact,0,3,0,13,10,0.0,0.0
mail,0,0,0,3,0,0.0,0.0
traffic,0,0,0,3,1,0.0,0.0
{{campaign.name}},0,2,1,9,2,0.0,11.11111111111111
잠재고객-그로스메이커-251127,29,193,17,1437,299,0.0,1.1830201809324983
