월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,18-24,구분필요,-,기타,기타,기타,2107,28,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,25-34,구분필요,-,기타,기타,기타,5016,99,1.0,0,0,0.0,0.0,5016.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,35-44,구분필요,-,기타,기타,기타,2800,37,1.0,0,0,0.0,0.0,2800.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,45-54,구분필요,-,기타,기타,기타,582,2,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,55-64,구분필요,-,기타,기타,기타,745,5,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,65+,구분필요,-,기타,기타,기타,26,1,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,18-24,구분필요,-,기타,기타,기타,289,25,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,25-34,구분필요,-,기타,기타,기타,3376,83,1.0,0,0,0.0,0.0,3376.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,35-44,구분필요,-,기타,기타,기타,3773,45,1.0,0,0,0.0,0.0,3773.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,45-54,구분필요,-,기타,기타,기타,2505,31,2.0,0,0,0.0,0.0,1252.5,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,55-64,구분필요,-,기타,기타,기타,1095,9,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,65+,구분필요,-,기타,기타,기타,57,4,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,18-24,구분필요,-,기타,기타,기타,35,4,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,25-34,구분필요,-,기타,기타,기타,2482,84,4.0,0,0,0.0,0.0,620.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,35-44,구분필요,-,기타,기타,기타,2288,50,1.0,0,0,0.0,0.0,2288.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,45-54,구분필요,-,기타,기타,기타,896,22,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,55-64,구분필요,-,기타,기타,기타,135,8,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,65+,구분필요,-,기타,기타,기타,22,2,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,18-24,구분필요,-,기타,기타,기타,350,25,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,25-34,구분필요,-,기타,기타,기타,3225,101,2.0,0,0,0.0,0.0,1612.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,35-44,구분필요,-,기타,기타,기타,1785,35,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,45-54,구분필요,-,기타,기타,기타,248,9,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,55-64,구분필요,-,기타,기타,기타,396,6,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,65+,구분필요,-,기타,기타,기타,18,1,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
