일 구분,brand,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-07,기존제품,535787.51551,83789,836,36.022325,897353.66,actual,actual
2025-11-08,기존제품,593549.0268999999,108208,1129,30.92512,951787.342,actual,actual
2025-11-09,기존제품,822164.8421,121771,1415,50.984469000000004,1538220.2824,actual,actual
2025-11-10,기존제품,768258.2574,130313,1218,39.0,1157050.0,actual,actual
2025-11-11,기존제품,747863.981,119480,1185,32.0,969020.0,actual,actual
2025-11-12,기존제품,305781.927,62776,516,10.0,305400.0,actual,actual
2025-11-13,기존제품,214211.78029,52682,342,6.0,128400.0,actual,actual
2025-11-14,기존제품,252479.67945,71348,421,7.0,142800.0,actual,actual
2025-11-15,기존제품,190055.27343,43454,373,2.0,39300.0,actual,actual
2025-11-16,기존제품,212333.05221,45254,400,6.0,128000.0,actual,actual
2025-11-17,기존제품,56489.09148,12147,136,1.0,29600.0,actual,actual
2025-11-18,기존제품,7867.720654,3423,25,0.0,0.0,actual,actual
2025-11-19,기존제품,7788.767823,3321,28,0.0,0.0,actual,actual
2025-11-20,기존제품,4476.217485,306,5,0.0,0.0,actual,actual
2025-11-21,기존제품,611827.346809735,83811,858,27.596162905709985,906668.4151521623,forecast,prophet_full
2025-11-22,기존제품,611731.1955155376,73978,894,26.362566412470848,875640.2705245327,forecast,prophet_full
2025-11-23,기존제품,668697.9910376938,86330,999,30.24938942533055,994866.275928941,forecast,prophet_full
2025-11-24,기존제품,601429.0139126182,90817,842,31.0248825977386,1003397.931295613,forecast,prophet_full
2025-11-25,기존제품,583361.3032512531,75566,819,28.502537071826,899944.795209777,forecast,prophet_full
2025-11-26,기존제품,513041.26562255615,72588,741,23.152544769787493,773226.5993603563,forecast,prophet_full
2025-11-27,기존제품,551206.5979286256,83213,786,25.9967491856269,848563.003611185,forecast,prophet_full
2025-11-28,기존제품,539682.813439559,75600,765,22.662411724110807,756673.1217316784,forecast,prophet_full
2025-11-29,기존제품,539586.6621453335,65766,801,21.42881523087205,725644.9771039746,forecast,prophet_full
2025-11-30,기존제품,596553.4576675821,78119,906,25.315638243736913,844870.9825086169,forecast,prophet_full
2025-12-01,기존제품,529284.4805425314,82606,749,26.091131416144915,853402.6378752392,forecast,prophet_full
2025-12-02,기존제품,511216.7698811241,67355,726,23.568785890233855,749949.5017894354,forecast,prophet_full
2025-12-03,기존제품,440896.7322525464,64377,648,18.218793588196434,623231.3059400812,forecast,prophet_full
2025-12-04,기존제품,479062.0645587201,75002,693,21.062998004039613,698567.7101909822,forecast,prophet_full
2025-10-30,신제품,160817.0,7959,190,11.0,590900.0,actual,actual
2025-10-31,신제품,214172.0,10889,298,6.0,167700.0,actual,actual
2025-11-01,신제품,188485.0,10860,305,13.0,442300.0,actual,actual
2025-11-02,신제품,220687.0,12880,354,13.0,449400.0,actual,actual
2025-11-03,신제품,197676.0,10506,273,6.0,212600.0,actual,actual
2025-11-04,신제품,199630.0,13382,339,8.0,339200.0,actual,actual
2025-11-05,신제품,193101.0,14048,389,16.0,513000.0,actual,actual
2025-11-06,신제품,194844.0,14776,411,9.0,492800.0,actual,actual
2025-11-07,신제품,191578.0,15711,385,13.0,575800.0,actual,actual
2025-11-08,신제품,190063.0,17607,421,9.0,267000.0,actual,actual
2025-11-09,신제품,211535.0,20643,410,10.0,387600.0,actual,actual
2025-11-10,신제품,228405.0,18599,332,15.0,646000.0,actual,actual
2025-11-11,신제품,261007.0,20433,357,4.0,155800.0,actual,actual
2025-11-12,신제품,63231.0,4462,78,2.0,47700.0,actual,actual
2025-11-13,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-14,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-15,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-16,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-17,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-18,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-19,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-20,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-21,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-22,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-23,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-24,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-25,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
2025-11-26,신제품,191475.09523809524,14847,327,9.076190476190476,354699.04761904763,forecast,weighted_ma
