일 구분,channel,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-14,메타_전환,523531.0,53504,937,25.0,934200.0,actual,actual
2025-11-15,메타_전환,569055.0,54371,939,33.0,1406300.0,actual,actual
2025-11-16,메타_전환,678773.0,66793,1192,26.0,976500.0,actual,actual
2025-11-17,메타_전환,639346.0,50386,893,26.0,878262.0,actual,actual
2025-11-18,메타_전환,685450.0,45611,946,29.0,1239400.0,actual,actual
2025-11-19,메타_전환,620752.0,42620,828,36.0,1799900.0,actual,actual
2025-11-20,메타_전환,653796.0,46132,806,31.0,1194600.0,actual,actual
2025-11-21,메타_전환,711216.0,48934,912,36.0,1664600.0,actual,actual
2025-11-22,메타_전환,669603.0,54754,979,28.0,1092700.0,actual,actual
2025-11-23,메타_전환,775416.0,53626,1022,30.0,1149000.0,actual,actual
2025-11-24,메타_전환,729002.0,52954,1019,32.0,1418500.0,actual,actual
2025-11-25,메타_전환,720782.0,48811,929,34.0,1492700.0,actual,actual
2025-11-26,메타_전환,694888.0,45637,969,39.0,1691500.0,actual,actual
2025-11-27,메타_전환,48100.0,4100,72,3.0,116200.0,actual,actual
2025-11-28,메타_전환,664191.3724588713,43306,798,27.51503186099398,1122123.1104088179,forecast,prophet_full
2025-11-29,메타_전환,688816.5640217279,46760,883,29.834062795803856,1181449.4245173265,forecast,prophet_full
2025-11-30,메타_전환,757744.5568601037,52207,971,33.597229241534265,1308357.9008587138,forecast,prophet_full
2025-12-01,메타_전환,670536.213991301,43342,831,31.714848145307073,1252756.19155611,forecast,prophet_full
2025-12-02,메타_전환,664288.7099942773,41446,817,28.982975587350253,1149021.9577466033,forecast,prophet_full
2025-12-03,메타_전환,593557.0151638024,38113,747,26.795420432287006,1149805.55801817,forecast,prophet_full
2025-12-04,메타_전환,623130.266552488,40565,774,28.253693381734532,1166789.3238414568,forecast,prophet_full
2025-12-05,메타_전환,631196.7140510739,41757,771,24.915979168566075,1056893.3806432309,forecast,prophet_full
2025-12-06,메타_전환,655821.9056141673,45211,856,27.235010103380343,1116219.694751738,forecast,prophet_full
2025-12-07,메타_전환,724749.8984523979,50658,944,30.998176549106102,1243128.1710930325,forecast,prophet_full
2025-12-08,메타_전환,637541.5555835202,41793,805,29.115795452871897,1187526.4617902492,forecast,prophet_full
2025-12-09,메타_전환,631294.0515866678,39897,791,26.38392289492703,1083792.2279810014,forecast,prophet_full
2025-12-10,메타_전환,560562.3567561063,36564,720,24.196367739852082,1084575.8282522138,forecast,prophet_full
2025-12-11,메타_전환,590135.6081449101,39016,748,25.654640689304156,1101559.5940756719,forecast,prophet_full
2025-10-13,메타_트래픽,41426.0,5962,158,1.0,21800.0,actual,actual
2025-10-14,메타_트래픽,40361.0,4580,167,0.0,0.0,actual,actual
2025-10-15,메타_트래픽,36694.0,4721,127,0.0,0.0,actual,actual
2025-10-16,메타_트래픽,37808.0,4629,137,0.0,0.0,actual,actual
2025-10-17,메타_트래픽,40982.0,4712,159,0.0,0.0,actual,actual
2025-10-18,메타_트래픽,38990.0,4811,123,0.0,0.0,actual,actual
2025-10-19,메타_트래픽,44567.0,5146,167,1.0,26800.0,actual,actual
2025-10-20,메타_트래픽,41732.0,4595,158,0.0,0.0,actual,actual
2025-10-21,메타_트래픽,40340.0,4308,131,0.0,0.0,actual,actual
2025-10-22,메타_트래픽,24431.0,2688,97,0.0,0.0,actual,actual
2025-10-23,메타_트래픽,0.0,0,0,0.0,0.0,actual,actual
2025-10-24,메타_트래픽,0.0,0,0,0.0,0.0,actual,actual
2025-10-25,메타_트래픽,0.0,0,0,0.0,0.0,actual,actual
2025-10-26,메타_트래픽,0.0,0,0,0.0,0.0,actual,actual
2025-10-27,메타_트래픽,18718.89751139514,2202,71,0.3245459998259985,13749.042903142017,forecast,prophet_full
2025-10-28,메타_트래픽,19588.300216859112,2104,75,0.2373030631481694,6212.40420524162,forecast,prophet_full
2025-10-29,메타_트래픽,15619.075740934106,1525,62,0.0,0.0,forecast,prophet_full
2025-10-30,메타_트래픽,16389.098801365282,1524,58,0.0,0.0,forecast,prophet_full
2025-10-31,메타_트래픽,16625.650768783664,1605,61,0.0,0.0,forecast,prophet_full
2025-11-01,메타_트래픽,16718.080374787984,1912,79,0.0,3767.164980209772,forecast,prophet_full
2025-11-02,메타_트래픽,20445.00667324884,2618,92,0.013446907151408005,3561.7432493774945,forecast,prophet_full
