일 구분,product,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-15,기타,569055.0,54371,939,33.0,1406300.0,actual,actual
2025-11-16,기타,678773.0,66793,1192,26.0,976500.0,actual,actual
2025-11-17,기타,639346.0,50386,893,26.0,878262.0,actual,actual
2025-11-18,기타,685450.0,45611,946,29.0,1239400.0,actual,actual
2025-11-19,기타,620752.0,42620,828,36.0,1799900.0,actual,actual
2025-11-20,기타,653796.0,46132,806,31.0,1194600.0,actual,actual
2025-11-21,기타,711216.0,48934,912,36.0,1664600.0,actual,actual
2025-11-22,기타,669603.0,54754,979,28.0,1092700.0,actual,actual
2025-11-23,기타,775416.0,53626,1022,30.0,1149000.0,actual,actual
2025-11-24,기타,729002.0,52954,1019,32.0,1418500.0,actual,actual
2025-11-25,기타,720782.0,48811,929,34.0,1492700.0,actual,actual
2025-11-26,기타,695149.0,45665,969,39.0,1691500.0,actual,actual
2025-11-27,기타,748081.0,47296,1056,44.0,1880600.0,actual,actual
2025-11-28,기타,57497.0,3789,87,2.0,59600.0,actual,actual
2025-11-29,기타,676639.3771634351,44425,826,29.946781924709345,1194712.6853972129,forecast,prophet_full
2025-11-30,기타,749069.7961085952,50475,928,33.79854793569444,1320767.0406910458,forecast,prophet_full
2025-12-01,기타,658212.8852793277,41041,766,31.99948724083934,1269432.0579219721,forecast,prophet_full
2025-12-02,기타,651463.6917431827,38986,751,29.20376518108557,1162962.1326047943,forecast,prophet_full
2025-12-03,기타,578151.1884589165,35243,670,26.721009196418493,1157861.4157276233,forecast,prophet_full
2025-12-04,기타,621602.3589921653,38493,713,29.039458724408096,1213633.2961605499,forecast,prophet_full
2025-12-05,기타,601833.316489961,37852,673,24.176182775443557,1041857.0209179765,forecast,prophet_full
2025-12-06,기타,637971.4949145966,42143,777,27.311729593834094,1129212.5945858906,forecast,prophet_full
2025-12-07,기타,710401.913859588,48193,879,31.16349560481338,1255266.9498795914,forecast,prophet_full
2025-12-08,기타,619545.0030302111,38759,717,29.36443490994923,1203931.9671102567,forecast,prophet_full
2025-12-09,기타,612795.8094942562,36704,702,26.568712850209085,1097462.0417933972,forecast,prophet_full
2025-12-10,기타,539483.3062098651,32961,621,24.085956865527912,1092361.3249157635,forecast,prophet_full
2025-12-11,기타,582934.4767432613,36211,664,26.404406393523107,1148133.2053489205,forecast,prophet_full
2025-12-12,기타,563165.434240978,35570,624,21.541130444558675,976356.9301063793,forecast,prophet_full
