일 구분,promotion,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-04,기타,718443.0,35977,784,30.0,918000.0,actual,actual
2025-11-05,기타,527394.0,36186,818,32.0,1024700.0,actual,actual
2025-11-06,기타,541500.0,38865,853,25.0,1031900.0,actual,actual
2025-11-07,기타,541263.0,43003,860,35.0,1139000.0,actual,actual
2025-11-08,기타,526055.0,47773,1056,32.0,1016900.0,actual,actual
2025-11-09,기타,593823.0,54748,1071,29.0,1099000.0,actual,actual
2025-11-10,기타,574701.0,46493,844,35.0,1378800.0,actual,actual
2025-11-11,기타,581339.0,49723,889,23.0,855500.0,actual,actual
2025-11-12,기타,513792.0,51828,892,14.0,498700.0,actual,actual
2025-11-13,기타,508808.0,51271,877,27.0,1079900.0,actual,actual
2025-11-14,기타,523531.0,53504,937,25.0,934200.0,actual,actual
2025-11-15,기타,569055.0,54371,939,33.0,1406300.0,actual,actual
2025-11-16,기타,678773.0,66793,1192,26.0,976500.0,actual,actual
2025-11-17,기타,639346.0,50386,893,26.0,878262.0,actual,actual
2025-11-18,기타,685450.0,45611,946,29.0,1239400.0,actual,actual
2025-11-19,기타,620752.0,42620,828,36.0,1799900.0,actual,actual
2025-11-20,기타,653796.0,46132,806,31.0,1194600.0,actual,actual
2025-11-21,기타,711216.0,48934,912,36.0,1664600.0,actual,actual
2025-11-22,기타,669603.0,54754,979,28.0,1092700.0,actual,actual
2025-11-23,기타,775416.0,53626,1022,30.0,1149000.0,actual,actual
2025-11-24,기타,729002.0,52954,1019,32.0,1418500.0,actual,actual
2025-11-25,기타,720782.0,48811,929,34.0,1492700.0,actual,actual
2025-11-26,기타,695149.0,45665,969,39.0,1691500.0,actual,actual
2025-11-27,기타,748210.0,47306,1056,44.0,1880600.0,actual,actual
2025-11-28,기타,675666.0,41052,913,38.0,2057900.0,actual,actual
2025-11-29,기타,705081.0,43794,957,38.0,1503198.0,actual,actual
2025-11-30,기타,813755.0,55703,1082,28.0,1055700.0,actual,actual
2025-12-01,기타,749150.0,56192,928,43.0,1729100.0,actual,actual
2025-12-02,기타,714797.0,44398,833,24.0,821100.0,actual,actual
2025-12-03,기타,44989.0,3149,66,1.0,29800.0,actual,actual
2025-12-04,기타,634179.5570431422,39637,746,29.385466666545796,1237800.5819751858,forecast,prophet_full
2025-12-05,기타,627410.99817843,39785,723,25.343168423931054,1106869.4381583084,forecast,prophet_full
2025-12-06,기타,651463.8018509453,43297,813,27.825572080672327,1159275.293421193,forecast,prophet_full
2025-12-07,기타,724812.6029582248,49481,916,31.391965841836523,1274039.9590880263,forecast,prophet_full
2025-12-08,기타,634654.5979503238,40272,755,29.958828380856453,1237650.472100507,forecast,prophet_full
2025-12-09,기타,627474.300533108,38026,739,26.83765273860802,1113689.820118533,forecast,prophet_full
2025-12-10,기타,542073.8536539845,33518,644,23.955875488159066,1096740.716282451,forecast,prophet_full
2025-12-11,기타,596801.6265872912,37463,700,26.77289083947898,1174321.7775597293,forecast,prophet_full
2025-12-12,기타,590033.0677224757,37611,677,22.730592596863584,1043390.6337428425,forecast,prophet_full
2025-12-13,기타,614085.8713946824,41123,767,25.21299625359789,1095796.489005707,forecast,prophet_full
2025-12-14,기타,687434.6725022448,47307,870,28.77939001477288,1210561.1546727028,forecast,prophet_full
2025-12-15,기타,597276.6674943023,38098,709,27.346252553791878,1174171.6676851031,forecast,prophet_full
2025-12-16,기타,590096.3700770338,35852,693,24.225076911539244,1050211.0157030828,forecast,prophet_full
2025-12-17,기타,504695.9231978553,31345,598,21.343299661093823,1033261.9118671456,forecast,prophet_full
2025-12-18,기타,559423.6961312281,35289,655,24.16031501241024,1110842.9731442786,forecast,prophet_full
2025-12-19,기타,552655.1372665209,35438,632,20.118016769796093,979911.8293273767,forecast,prophet_full
2025-12-20,기타,576707.9409388674,38950,722,22.600420426539117,1032317.6845904689,forecast,prophet_full
2025-12-21,기타,650056.7420462094,45134,825,26.166814187697035,1147082.3502569995,forecast,prophet_full
2025-12-22,기타,559898.737038281,35925,664,24.73367672672736,1110692.8632697,forecast,prophet_full
2025-12-23,기타,552718.4396209997,33679,647,21.61250108446505,986732.2112875015,forecast,prophet_full
2025-12-24,기타,467317.992742006,29171,553,18.730723834024673,969783.1074516873,forecast,prophet_full
2025-12-25,기타,522045.7656751654,33116,609,21.547739185341495,1047364.1687288281,forecast,prophet_full
2025-12-26,기타,515277.2068104708,33264,586,17.505440942733483,916433.0249122004,forecast,prophet_full
2025-12-27,기타,539330.0104828287,36776,676,19.987844599472538,968838.8801751073,forecast,prophet_full
2025-12-28,기타,612678.8115900675,42960,779,23.554238360624698,1083603.5458415183,forecast,prophet_full
2025-12-29,기타,522520.8065821921,33751,618,22.121100899654948,1047214.0588541357,forecast,prophet_full
2025-12-30,기타,515340.5091649257,31505,602,18.99992525739632,923253.4068720524,forecast,prophet_full
2025-12-31,기타,429940.0622858773,26998,507,16.118148006959455,906304.3030363822,forecast,prophet_full
2026-01-01,기타,484667.8352190349,30942,564,18.935163358275375,983885.364313508,forecast,prophet_full
2026-01-02,기타,477899.2763545165,31090,541,14.892865115666012,852954.2204967348,forecast,prophet_full
