Session campaign,결제진행,관심,구매완료,유입,활동,Revenue,CVR
(direct),9,122,6,589,245,0.0,1.0186757215619695
(not set),0,5,0,12,9,0.0,0.0
(organic),46,213,7,552,413,0.0,1.2681159420289856
(referral),24,103,3,399,205,0.0,0.7518796992481203
[GM]250731_ CPL최적화_lead,28,186,21,2076,373,0.0,1.0115606936416186
brunch_contact,0,2,0,3,3,0.0,0.0
eopla_company_page,1,4,1,8,5,0.0,12.5
fb_conv_former_landing_250730,0,2,0,10,5,0.0,0.0
fb_conv_rt_250814_05,0,0,0,3,0,0.0,0.0
inblog_contact,1,4,0,41,12,0.0,0.0
mail,3,7,0,135,26,0.0,0.0
{{campaign.name}},0,2,0,5,3,0.0,0.0
잠재고객-그로스메이커-251127,5,20,2,432,56,0.0,0.4629629629629629
