channel,Day,유입,활동,관심,결제진행,구매완료,CVR
Direct,2025-11-02,10,5,2,0,0,0.0
Direct,2025-11-03,55,17,14,0,2,3.6363636363636362
Direct,2025-11-04,26,17,11,2,0,0.0
Direct,2025-11-05,35,21,10,2,0,0.0
Direct,2025-11-06,18,5,1,0,0,0.0
Direct,2025-11-07,25,10,8,0,0,0.0
Direct,2025-11-08,9,1,0,0,0,0.0
Direct,2025-11-09,13,2,0,0,0,0.0
Direct,2025-11-10,6,3,0,0,0,0.0
Direct,2025-11-11,24,18,9,1,1,4.166666666666666
Direct,2025-11-12,20,7,6,1,1,5.0
Direct,2025-11-13,22,12,7,1,0,0.0
Direct,2025-11-14,22,8,2,0,0,0.0
Direct,2025-11-15,11,3,1,0,0,0.0
Direct,2025-11-16,6,2,0,0,0,0.0
Direct,2025-11-17,29,8,3,0,0,0.0
Direct,2025-11-18,57,11,3,0,0,0.0
Direct,2025-11-19,18,6,4,1,2,11.11111111111111
Direct,2025-11-20,55,21,9,1,0,0.0
Direct,2025-11-21,22,11,5,0,0,0.0
Direct,2025-11-22,8,3,0,0,0,0.0
Direct,2025-11-23,6,3,2,0,0,0.0
Direct,2025-11-24,20,12,6,0,0,0.0
Direct,2025-11-25,23,11,4,0,0,0.0
Direct,2025-11-26,17,9,6,0,0,0.0
Direct,2025-11-27,15,11,6,0,0,0.0
Direct,2025-11-28,6,5,1,0,0,0.0
Direct,2025-11-29,5,3,2,0,0,0.0
Direct,2025-11-30,6,0,0,0,0,0.0
구글 Organic,2025-11-01,1,1,0,0,0,0.0
구글 Organic,2025-11-02,7,5,2,0,0,0.0
구글 Organic,2025-11-03,17,11,1,0,0,0.0
구글 Organic,2025-11-04,17,11,8,2,1,5.88235294117647
구글 Organic,2025-11-05,20,17,11,4,0,0.0
구글 Organic,2025-11-06,18,15,10,4,1,5.555555555555555
구글 Organic,2025-11-07,18,15,7,1,0,0.0
구글 Organic,2025-11-08,8,5,2,0,0,0.0
구글 Organic,2025-11-10,16,14,11,2,0,0.0
구글 Organic,2025-11-11,18,17,10,4,1,5.555555555555555
구글 Organic,2025-11-12,20,16,8,1,0,0.0
구글 Organic,2025-11-13,20,18,12,1,1,5.0
구글 Organic,2025-11-14,20,14,7,2,0,0.0
구글 Organic,2025-11-15,10,6,2,0,0,0.0
구글 Organic,2025-11-16,4,4,3,1,0,0.0
구글 Organic,2025-11-17,20,10,5,1,0,0.0
구글 Organic,2025-11-18,37,32,11,2,0,0.0
구글 Organic,2025-11-19,12,9,5,1,0,0.0
구글 Organic,2025-11-20,26,16,9,3,1,3.8461538461538463
구글 Organic,2025-11-21,25,16,8,1,0,0.0
구글 Organic,2025-11-22,10,7,3,1,0,0.0
구글 Organic,2025-11-24,18,14,8,3,1,5.555555555555555
구글 Organic,2025-11-25,28,23,12,2,0,0.0
구글 Organic,2025-11-26,15,9,4,0,0,0.0
구글 Organic,2025-11-27,24,18,5,0,0,0.0
구글 Organic,2025-11-28,15,8,2,1,0,0.0
구글 Organic,2025-11-29,3,2,2,0,0,0.0
구글 Organic,2025-12-01,2,0,1,0,0,0.0
구분 불가 (not set),2025-11-14,1,0,0,0,0,0.0
구분 불가 (not set),2025-11-17,1,1,1,0,0,0.0
구분 불가 (not set),2025-11-29,1,1,0,0,0,0.0
기타,2025-11-01,3,1,1,0,0,0.0
기타,2025-11-03,3,2,0,0,0,0.0
기타,2025-11-04,8,2,1,0,0,0.0
기타,2025-11-05,3,1,0,0,0,0.0
기타,2025-11-06,2,1,0,0,0,0.0
기타,2025-11-07,4,3,0,0,0,0.0
기타,2025-11-10,5,1,1,0,0,0.0
기타,2025-11-11,6,2,0,0,0,0.0
기타,2025-11-12,6,3,1,0,0,0.0
기타,2025-11-13,4,2,1,1,0,0.0
기타,2025-11-14,2,2,1,0,0,0.0
기타,2025-11-17,2,0,0,0,0,0.0
기타,2025-11-19,5,5,2,1,0,0.0
기타,2025-11-20,4,4,2,1,0,0.0
기타,2025-11-21,6,2,1,0,0,0.0
기타,2025-11-23,6,2,2,0,0,0.0
기타,2025-11-24,7,3,1,0,0,0.0
기타,2025-11-26,4,0,0,0,0,0.0
기타,2025-11-27,3,1,1,0,0,0.0
기타,2025-11-28,3,2,1,0,0,0.0
네이버 Organic,2025-11-01,3,3,1,0,0,0.0
네이버 Organic,2025-11-02,3,2,2,1,0,0.0
네이버 Organic,2025-11-03,2,1,2,1,1,50.0
네이버 Organic,2025-11-04,5,5,4,1,0,0.0
네이버 Organic,2025-11-05,10,6,1,0,0,0.0
네이버 Organic,2025-11-06,17,9,5,0,0,0.0
네이버 Organic,2025-11-10,8,4,0,0,0,0.0
네이버 Organic,2025-11-12,3,1,0,0,0,0.0
네이버 Organic,2025-11-13,8,6,4,1,0,0.0
네이버 Organic,2025-11-16,3,0,0,0,0,0.0
네이버 Organic,2025-11-17,9,5,3,1,0,0.0
네이버 Organic,2025-11-18,12,9,8,1,0,0.0
네이버 Organic,2025-11-19,5,4,4,0,0,0.0
네이버 Organic,2025-11-20,15,12,6,1,0,0.0
네이버 Organic,2025-11-21,9,8,4,1,0,0.0
네이버 Organic,2025-11-24,7,7,3,1,0,0.0
네이버 Organic,2025-11-25,8,4,5,0,0,0.0
네이버 Organic,2025-11-26,7,6,3,1,0,0.0
네이버 Organic,2025-11-27,3,1,2,0,0,0.0
네이버 Organic,2025-11-28,6,3,1,0,0,0.0
네이버 Organic,2025-11-29,3,2,1,0,0,0.0
뉴스와이어,2025-11-12,3,3,1,0,0,0.0
메타 광고,2025-11-01,98,21,7,0,0,0.0
메타 광고,2025-11-02,69,12,4,0,0,0.0
메타 광고,2025-11-03,89,17,10,1,0,0.0
메타 광고,2025-11-04,69,13,5,0,0,0.0
메타 광고,2025-11-05,51,12,6,0,0,0.0
메타 광고,2025-11-06,77,16,7,2,0,0.0
메타 광고,2025-11-07,65,10,4,1,0,0.0
메타 광고,2025-11-08,55,8,7,0,2,3.6363636363636362
메타 광고,2025-11-09,173,23,9,2,2,1.1560693641618496
메타 광고,2025-11-10,95,15,6,1,0,0.0
메타 광고,2025-11-11,41,5,6,1,2,4.878048780487805
메타 광고,2025-11-12,68,16,9,0,1,1.4705882352941175
메타 광고,2025-11-13,85,23,8,1,1,1.1764705882352942
메타 광고,2025-11-14,58,19,6,0,0,0.0
메타 광고,2025-11-15,77,14,8,0,0,0.0
메타 광고,2025-11-16,98,18,12,1,2,2.0408163265306123
메타 광고,2025-11-17,165,36,13,3,4,2.4242424242424243
메타 광고,2025-11-18,138,25,6,1,1,0.7246376811594203
메타 광고,2025-11-19,74,18,5,3,1,1.3513513513513513
메타 광고,2025-11-20,143,36,26,6,2,1.3986013986013985
메타 광고,2025-11-21,39,11,5,1,0,0.0
메타 광고,2025-11-22,85,16,12,2,1,1.1764705882352942
메타 광고,2025-11-23,61,5,7,1,1,1.639344262295082
