channel,Sessions,Engaged sessions,Engagement rate,Average session duration,Bounce rate,Return rate
Direct,10858,7375,67.92,62.2,25.47,81.99
구글 Organic,6560,5266,80.27,71.8,16.61,91.45
구글 검색,3010,1478,49.1,62.8,35.76,74.86
구분 불가 (not set),116,0,0.0,33.3,97.14,78.21
기타,1137,812,71.42,73.1,27.94,88.81
네이버 Organic,2237,1935,86.5,69.2,12.75,88.23
네이버 플레이스,28,28,100.0,42.9,0.0,82.61
뉴스와이어,190,142,74.74,61.9,21.38,87.93
메타 광고,29431,16537,56.19,45.4,29.24,76.36
브런치,85,73,85.88,58.5,13.25,87.06
스케일업스쿼드_direct,1676,1413,84.31,61.7,12.07,88.24
스타트업위클리,4125,1396,33.84,79.1,28.36,76.18
스티비,49,30,61.22,90.8,37.25,100.0
이메일,827,404,48.85,55.5,28.01,76.55
이오플래닛,495,368,74.34,65.7,22.18,86.38
채널톡,155,103,66.45,76.9,32.27,100.0
채용,598,481,80.43,35.9,17.91,84.53
프레이머,155,122,78.71,173.4,18.71,97.48
