channel,결제진행,관심,구매완료,유입,활동,Revenue,CVR
Direct,94,1029,51,6802,2799,0.0,0.7497794766245223
구글 Organic,148,904,32,3204,2191,0.0,0.9987515605493134
구글 검색,2,88,1,2330,520,0.0,0.04291845493562232
구분 불가 (not set),1,15,2,236,93,0.0,0.847457627118644
기타,11,130,8,653,328,0.0,1.2251148545176112
네이버 Organic,45,399,10,1137,769,0.0,0.8795074758135445
네이버 플레이스,0,4,0,12,7,0.0,0.0
뉴스와이어,5,16,0,107,53,0.0,0.0
메타 광고,268,1977,169,24061,4782,0.0,0.7023814471551473
브런치,1,16,1,55,23,0.0,1.8181818181818181
스케일업스쿼드_direct,28,221,4,841,548,0.0,0.47562425683709864
스타트업위클리,3,87,4,2964,1036,0.0,0.1349527665317139
스티비,2,2,0,22,13,0.0,0.0
이메일,8,51,6,605,122,0.0,0.9917355371900827
이오플래닛,2,71,6,261,140,0.0,2.2988505747126435
채널톡,6,19,1,76,63,0.0,1.3157894736842104
채용,3,84,1,383,212,0.0,0.26109660574412535
프레이머,5,18,1,61,46,0.0,1.639344262295082
