Day,유입,활동,관심,결제진행,구매완료,CVR
2025-11-01,105,26,9,0,0,0.0
2025-11-02,90,25,10,1,0,0.0
2025-11-03,170,51,28,4,3,1.7647058823529411
2025-11-04,152,49,29,5,1,0.6578947368421052
2025-11-05,120,58,28,6,0,0.0
2025-11-06,138,50,24,6,1,0.7246376811594203
2025-11-07,119,45,23,3,0,0.0
2025-11-08,77,20,12,1,2,2.5974025974025974
2025-11-09,189,25,9,2,2,1.0582010582010581
2025-11-10,135,40,19,3,0,0.0
2025-11-11,137,51,27,8,4,2.9197080291970803
2025-11-12,122,49,25,2,2,1.639344262295082
2025-11-13,154,73,39,8,2,1.2987012987012987
2025-11-14,114,50,19,2,0,0.0
2025-11-15,100,24,12,0,0,0.0
2025-11-16,114,27,16,2,2,1.7543859649122806
2025-11-17,240,64,27,5,4,1.6666666666666667
2025-11-18,261,81,29,5,1,0.38314176245210724
2025-11-19,116,44,21,7,3,2.586206896551724
2025-11-20,246,90,52,12,3,1.2195121951219512
2025-11-21,106,51,27,4,1,0.9433962264150944
2025-11-22,103,26,15,3,1,0.9708737864077669
2025-11-23,77,11,11,1,1,1.2987012987012987
2025-11-24,117,54,27,6,1,0.8547008547008548
2025-11-25,135,70,37,4,0,0.0
2025-11-26,131,52,28,4,1,0.7633587786259541
2025-11-27,340,54,26,4,1,0.29411764705882354
2025-11-28,236,60,21,5,1,0.423728813559322
2025-11-29,89,28,14,2,2,2.247191011235955
2025-11-30,30,7,5,2,1,3.3333333333333335
2025-12-01,2,0,1,0,0,0.0
