Day,funnel,Total users,New users,Returning users,New user %
2025-06-01,구매완료,2,0,2,0.0
2025-06-01,기타,538,0,538,0.0
2025-06-01,유입,1359,384,975,28.2560706401766
2025-06-01,활동,534,0,534,0.0
2025-06-02,구매완료,3,0,3,0.0
2025-06-02,기타,438,0,438,0.0
2025-06-02,유입,1053,295,758,28.01519468186135
2025-06-02,활동,451,0,451,0.0
2025-06-03,구매완료,1,0,1,0.0
2025-06-03,기타,450,0,450,0.0
2025-06-03,유입,1172,332,840,28.327645051194537
2025-06-03,활동,465,0,465,0.0
2025-06-04,구매완료,5,0,5,0.0
2025-06-04,기타,473,0,473,0.0
2025-06-04,유입,1080,297,783,27.500000000000004
2025-06-04,활동,455,0,455,0.0
2025-06-05,구매완료,3,0,3,0.0
2025-06-05,기타,424,0,424,0.0
2025-06-05,유입,1054,290,764,27.514231499051235
2025-06-05,활동,444,0,444,0.0
2025-06-06,기타,487,0,487,0.0
2025-06-06,유입,1266,372,894,29.383886255924168
2025-06-06,활동,494,0,494,0.0
2025-06-07,구매완료,1,0,1,0.0
2025-06-07,기타,628,0,628,0.0
2025-06-07,유입,1638,501,1137,30.586080586080588
2025-06-07,활동,643,0,643,0.0
2025-06-08,구매완료,1,0,1,0.0
2025-06-08,기타,815,0,815,0.0
2025-06-08,유입,2223,705,1518,31.713900134952766
2025-06-08,활동,846,0,846,0.0
2025-06-09,구매완료,2,0,2,0.0
2025-06-09,기타,730,0,730,0.0
2025-06-09,유입,1902,599,1303,31.4931650893796
2025-06-09,활동,746,0,746,0.0
2025-06-10,구매완료,1,0,1,0.0
2025-06-10,기타,702,0,702,0.0
2025-06-10,유입,1831,569,1262,31.07591480065538
2025-06-10,활동,718,0,718,0.0
2025-06-11,구매완료,4,0,4,0.0
2025-06-11,기타,569,0,569,0.0
2025-06-11,유입,1494,465,1029,31.12449799196787
2025-06-11,활동,588,0,588,0.0
2025-06-12,구매완료,4,0,4,0.0
2025-06-12,기타,557,0,557,0.0
2025-06-12,유입,1436,450,986,31.337047353760443
2025-06-12,활동,547,0,547,0.0
2025-06-13,구매완료,3,0,3,0.0
2025-06-13,기타,657,0,657,0.0
2025-06-13,유입,1688,539,1149,31.931279620853083
2025-06-13,활동,638,0,638,0.0
2025-06-14,구매완료,3,0,3,0.0
2025-06-14,기타,535,0,535,0.0
2025-06-14,유입,1391,429,962,30.8411214953271
2025-06-14,활동,542,0,542,0.0
2025-06-15,구매완료,3,0,3,0.0
2025-06-15,기타,643,0,643,0.0
2025-06-15,유입,1696,532,1164,31.367924528301888
2025-06-15,활동,633,0,633,0.0
2025-06-16,기타,522,0,522,0.0
2025-06-16,유입,1347,408,939,30.28953229398664
2025-06-16,활동,524,0,524,0.0
2025-06-17,구매완료,2,0,2,0.0
2025-06-17,기타,546,0,546,0.0
2025-06-17,유입,1412,426,986,30.1699716713881
2025-06-17,활동,543,0,543,0.0
2025-06-18,기타,515,0,515,0.0
2025-06-18,유입,1380,421,959,30.507246376811594
2025-06-18,활동,561,0,561,0.0
2025-06-19,기타,499,0,499,0.0
2025-06-19,유입,1348,405,943,30.044510385756677
2025-06-19,활동,523,0,523,0.0
2025-06-20,기타,598,0,598,0.0
2025-06-20,유입,1572,477,1095,30.343511450381676
2025-06-20,활동,618,0,618,0.0
2025-06-21,구매완료,6,0,6,0.0
2025-06-21,기타,577,0,577,0.0
2025-06-21,유입,1407,409,998,29.06894100923952
2025-06-21,활동,593,0,593,0.0
2025-06-22,구매완료,2,0,2,0.0
2025-06-22,기타,550,0,550,0.0
2025-06-22,유입,1424,422,1002,29.634831460674153
2025-06-22,활동,553,0,553,0.0
2025-06-23,구매완료,2,0,2,0.0
2025-06-23,기타,600,0,600,0.0
2025-06-23,유입,1525,446,1079,29.24590163934426
2025-06-23,활동,614,0,614,0.0
2025-06-24,기타,461,0,461,0.0
2025-06-24,유입,1173,336,837,28.644501278772378
2025-06-24,활동,447,0,447,0.0
2025-06-25,구매완료,2,0,2,0.0
2025-06-25,기타,649,0,649,0.0
2025-06-25,유입,1599,475,1124,29.706066291432144
2025-06-25,활동,709,0,709,0.0
2025-06-26,기타,473,0,473,0.0
2025-06-26,유입,1174,328,846,27.938671209540033
2025-06-26,활동,489,0,489,0.0
