week,유입,활동,구매완료,CVR
2025-05-26,1359,534,2,0.14716703458425312
2025-06-02,9486,3798,14,0.14758591608686486
2025-06-09,11438,4412,20,0.17485574401119075
2025-06-16,9890,3915,10,0.10111223458038424
2025-06-23,9398,3884,9,0.09576505639497765
2025-06-30,8468,3521,13,0.15351913084553612
2025-07-07,10344,4326,23,0.2223511214230472
2025-07-14,7023,3052,3,0.042716787697565144
2025-07-21,6913,2839,17,0.24591349631129755
2025-07-28,11631,4573,41,0.35250623334193104
2025-08-04,9904,3780,25,0.2524232633279483
2025-08-11,14638,5674,15,0.10247301543926765
2025-08-18,11415,4573,14,0.12264564169951818
2025-08-25,14360,5790,15,0.10445682451253482
2025-09-01,18079,7180,17,0.09403174954366944
2025-09-08,15667,6627,11,0.07021127210059361
2025-09-15,9907,4277,9,0.09084485717169678
2025-09-22,10406,4024,7,0.06726888333653662
2025-09-29,12125,4631,5,0.041237113402061855
2025-10-06,11936,4494,5,0.041890080428954424
2025-10-13,8094,3220,8,0.09883864591055103
2025-10-20,6455,2522,14,0.21688613477924087
2025-10-27,7583,3261,10,0.13187392852433075
2025-11-03,8205,3256,11,0.1340645947592931
2025-11-10,8330,3286,20,0.24009603841536614
2025-11-17,6284,2624,8,0.1273074474856779
2025-11-24,547,238,1,0.18281535648994515
