월 구분,주 구분,브랜드명,상품명,추가 구분,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,5969.0,717,3,0.0,0.0,0.42,1990.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,5194.0,102,3,0.0,0.0,2.94,1731.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,68712.0,3564,48,1.0,14800.0,1.35,1432.0,68712.0,2.08,22.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,3235.0,38,3,0.0,0.0,7.89,1078.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,1857.0,316,1,0.0,0.0,0.32,1857.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,3981.0,179,3,0.0,0.0,1.68,1327.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 7. 1,2025. 7. 7,기존제품,기타,기타,GFA_카탈로그,2025-07-09,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
