월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,986.0,1076,3,0.0,0.0,0.28,329.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,349.0,88,1,0.0,0.0,1.14,349.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,12161.0,9058,48,0.0,0.0,0.53,253.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,1096.0,1352,4,0.0,0.0,0.3,274.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 10. 1,2025. 9. 29,기존제품,기타,카탈로그 프로모션,GFA_카탈로그,2025-10-01,카탈로그 판매,카탈로그-전제품-자사몰-1454,카탈로그-전제품-자사몰-1454,0.0,182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
