월,주,일,목표,캠페인이름,광고세트,기기유형,플랫폼,기기플랫폼,연령,성별,비용,노출,링크클릭,전환수,전환값,타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"713,662",378396,2347,59.179507,1661984.826,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,4,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,5,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,93,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"24,144",7183,192,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,13,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"45,178",10224,274,3.033678,134596.8688,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,746,257,1,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,167,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,320,26,3,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,190,67,2,1.085547,76932.1912,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,831,83,1,0.948131,28064.6776,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,18,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,33,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,26,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,21,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,127,70,1,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,17,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,700,70,2,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"19,467",2591,74,1,29600,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,107,42,1,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-01,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,35,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"741,570",280211,2138,74.875177,2239569.169,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,50,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,4,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,,3,0,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"3,424",743,20,0.991698,36891.1656,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"26,019",7132,167,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,104,48,1,0,0,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"46,395",12244,288,0.991698,36891.1656,리타겟팅
2025-01-01,2024-12-30,2025-01-02,PERFORMANCE_MAX,실적최대화(데이지발매트),1번째 애셋 그룹,-,-,-,-,-,"1,819",274,4,1,37600,리타겟팅
