브랜드명,상품명,프로모션,유형구분,날짜,목표,캠페인,광고세트,소재이름,비용,노출,클릭,전환수,전환값,타겟팅 구분
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고 세트,새 판매 광고,3789,201,4,0,0,리타겟팅
기존제품,발매트,기타,메타_전환,2025-01-01,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,93331,5434,126,5,193000,타겟팅
기존제품,발매트,기타,메타_전환,2025-01-01,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,이미지 24-09-25 - 사본,10784,755,17,2,64800,타겟팅
기존제품,호랑이러그,기타,메타_전환,2025-01-01,OUTCOME_SALES,수동_호랑이,새 판매 광고 세트,이미지,136113,17590,341,5,156200,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,391329,34862,531,27,938700,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 나경 자막 뿌꾸,5168,284,4,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 애기 더빙,235213,19093,271,33,1087142,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 화이트톤 더빙,128025,8389,193,9,237700,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-09-25,22432,2360,22,2,47400,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25,10879,760,11,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -노랑,5186,397,2,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -초록,27229,2383,31,3,96400,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -파랑,7159,529,11,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 1,4,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 2,6,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 3,14,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상4,7,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지,46,17,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상2,1,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상3,0,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상4,5,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상6,28,10,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상7,45596,16549,466,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상8,10,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 이미지,4832,1217,49,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고 세트,새 판매 광고,0,0,0,0,0,리타겟팅
기존제품,발매트,기타,메타_전환,2025-01-02,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,80193,4647,117,6,170000,타겟팅
기존제품,발매트,기타,메타_전환,2025-01-02,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,이미지 24-09-25 - 사본,16717,1178,15,4,112200,타겟팅
기존제품,호랑이러그,기타,메타_전환,2025-01-02,OUTCOME_SALES,수동_호랑이,새 판매 광고 세트,이미지,139442,14166,293,8,342700,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,379193,32280,529,35,1101100,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 나경 자막 뿌꾸,3840,168,2,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 애기 더빙,242163,17251,249,20,593100,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 화이트톤 더빙,92783,5670,136,11,375600,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-09-25,15148,1689,25,3,71200,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25,6012,395,7,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -노랑,2937,252,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -초록,18449,1565,18,2,76800,타겟팅
