일,비용,노출,클릭,전환수,전환값,ROAS,CPA,CTR,CVR
2024-11-01,416855,61520,530,0,0,0.0,0.0,0.8615084525357607,0.0
2024-11-02,77530,12570,80,0,0,0.0,0.0,0.6364359586316627,0.0
2024-11-04,558710,143925,815,5,700000,125.28861126523599,111742.0,0.5662671530310925,0.6134969325153374
2024-11-05,627290,77205,725,5,81500,12.992395861563233,125458.0,0.9390583511430607,0.6896551724137931
2024-11-06,646520,76715,1050,5,346000,53.51729258182269,129304.0,1.3687023398292382,0.4761904761904762
2024-11-07,499030,37690,960,0,0,0.0,0.0,2.5470947200849032,0.0
2024-11-08,327225,15045,625,5,700000,213.92008556803424,65445.0,4.154204054503157,0.8
2024-11-09,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-11-10,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-11-11,203245,9270,500,5,693750,341.3368102536348,40649.0,5.393743257820928,1.0
2024-11-12,329475,13980,925,0,0,0.0,0.0,6.61659513590844,0.0
2024-11-13,312355,13625,820,0,0,0.0,0.0,6.018348623853211,0.0
2024-11-14,291050,11520,550,0,0,0.0,0.0,4.774305555555555,0.0
2024-11-15,385995,17665,1100,5,807500,209.19960103110142,77199.0,6.227002547410133,0.45454545454545453
2024-11-16,441365,20615,1225,5,700000,158.59889207345395,88273.0,5.942275042444821,0.40816326530612246
2024-11-17,427585,17595,1190,0,0,0.0,0.0,6.763285024154589,0.0
2024-11-18,250225,12335,590,5,700000,279.74822659606355,50045.0,4.783137413862992,0.847457627118644
2024-11-19,289460,12815,595,0,0,0.0,0.0,4.64299648849005,0.0
2024-11-20,312055,11725,510,0,0,0.0,0.0,4.3496801705756925,0.0
2024-11-21,301975,11505,500,5,685000,226.83997019620827,60395.0,4.34593654932638,1.0
2024-11-22,241430,7865,335,5,700000,289.93911278631487,48286.0,4.259376986649714,1.4925373134328357
2024-11-23,310985,9785,470,0,0,0.0,0.0,4.803270311701584,0.0
2024-11-24,298765,10590,625,0,0,0.0,0.0,5.901794145420207,0.0
2024-11-25,184450,10700,705,5,680000,368.66359447004606,36890.0,6.5887850467289715,0.7092198581560284
2024-11-26,243395,11275,575,0,0,0.0,0.0,5.099778270509978,0.0
2024-11-27,244160,11410,590,20,2792000,1143.5124508519004,12208.0,5.170902716914987,3.389830508474576
2024-11-28,233245,12510,670,25,3325500,1425.75403545628,9329.8,5.355715427657874,3.731343283582089
2024-11-29,193535,9585,435,0,0,0.0,0.0,4.538341158059469,0.0
2024-11-30,180140,10505,675,0,0,0.0,0.0,6.425511661113756,0.0
2024-12-01,274230,14575,705,5,650000,237.0273128395872,54846.0,4.83704974271012,0.7092198581560284
2024-12-02,162220,8565,510,0,0,0.0,0.0,5.954465849387041,0.0
2024-12-03,181145,9205,560,0,0,0.0,0.0,6.083650190114068,0.0
2024-12-04,190215,8870,490,0,0,0.0,0.0,5.5242390078917705,0.0
2024-12-05,128985,5065,260,0,0,0.0,0.0,5.133267522211254,0.0
2024-12-06,140465,6390,315,0,0,0.0,0.0,4.929577464788732,0.0
