월,주,일,광고세트,연령,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,성별_통합,연령_통합,유형구분_통합
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,18-24,Female,메타_인지,-,기타,기타,기타,2742,2011,2,0,0,0.0,0.0,1371.0,여성,19세 ~ 24세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,18-24,Male,메타_인지,-,기타,기타,기타,4104,2953,0,0,0,0.0,0.0,0.0,남성,19세 ~ 24세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,18-24,Unknown,메타_인지,-,기타,기타,기타,110,75,0,0,0,0.0,0.0,0.0,알 수 없음,19세 ~ 24세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,25-34,Female,메타_인지,-,기타,기타,기타,442,336,0,0,0,0.0,0.0,0.0,여성,25세 ~ 34세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,25-34,Male,메타_인지,-,기타,기타,기타,1038,776,1,0,0,0.0,0.0,1038.0,남성,25세 ~ 34세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,25-34,Unknown,메타_인지,-,기타,기타,기타,7,7,0,0,0,0.0,0.0,0.0,알 수 없음,25세 ~ 34세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,35-44,Female,메타_인지,-,기타,기타,기타,126,101,0,0,0,0.0,0.0,0.0,여성,35세 ~ 44세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,35-44,Male,메타_인지,-,기타,기타,기타,235,206,0,0,0,0.0,0.0,0.0,남성,35세 ~ 44세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,35-44,Unknown,메타_인지,-,기타,기타,기타,4,2,0,0,0,0.0,0.0,0.0,알 수 없음,35세 ~ 44세,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,45-54,Female,메타_인지,-,기타,기타,기타,87,63,0,0,0,0.0,0.0,0.0,여성,45세 ~ 54세,전환
