월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,18-24,메타_전환,타겟팅,앳드맹,기타,파트너쉽,417,41,4,1,210760,50541.96642685851,417.0,104.25,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,25-34,메타_전환,타겟팅,앳드맹,기타,파트너쉽,4100,253,17,0,0,0.0,0.0,241.1764705882353,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,35-44,메타_전환,타겟팅,앳드맹,기타,파트너쉽,3948,135,16,0,0,0.0,0.0,246.75,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,45-54,메타_전환,타겟팅,앳드맹,기타,파트너쉽,885,31,4,0,0,0.0,0.0,221.25,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,55-64,메타_전환,타겟팅,앳드맹,기타,파트너쉽,54,3,1,0,0,0.0,0.0,54.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,65+,메타_전환,타겟팅,앳드맹,기타,파트너쉽,104,3,0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,18-24,메타_전환,타겟팅,앳드맹,기타,파트너쉽,2557,124,10,0,0,0.0,0.0,255.7,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,25-34,메타_전환,타겟팅,앳드맹,기타,파트너쉽,22093,923,85,2,261300,1182.7275607658535,11046.5,259.91764705882355,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,35-44,메타_전환,타겟팅,앳드맹,기타,파트너쉽,19004,558,63,0,0,0.0,0.0,301.6507936507937,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,45-54,메타_전환,타겟팅,앳드맹,기타,파트너쉽,5416,119,18,2,280700,5182.791728212704,2708.0,300.8888888888889,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,55-64,메타_전환,타겟팅,앳드맹,기타,파트너쉽,464,11,1,0,0,0.0,0.0,464.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,65+,메타_전환,타겟팅,앳드맹,기타,파트너쉽,196,10,1,0,0,0.0,0.0,196.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,파트너쉽 광고 세트,18-24,메타_전환,타겟팅,앳드맹,기타,파트너쉽,2716,154,14,0,0,0.0,0.0,194.0,19세 ~ 24세,전환
