월,주,일,광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,성별_통합,유형구분_통합
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,Female,메타_인지,-,기타,기타,기타,3472,2568,2,0,0,0.0,0.0,1736.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,Male,메타_인지,-,기타,기타,기타,5737,4203,1,0,0,0.0,0.0,5737.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,1. 팝업스토어_홍보_241028-241104,Unknown,메타_인지,-,기타,기타,기타,131,91,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,2. 팝업스토어_릴스홍보_241101-241107,Female,메타_인지,-,기타,기타,기타,3027,2472,1,0,0,0.0,0.0,3027.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,2. 팝업스토어_릴스홍보_241101-241107,Male,메타_인지,-,기타,기타,기타,189,133,0,0,0,0.0,0.0,0.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,2. 팝업스토어_릴스홍보_241101-241107,Unknown,메타_인지,-,기타,기타,기타,10,7,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,맨투맨 할인,Female,메타_전환,-,기타,셔츠,기타,23379,643,21,0,0,0.0,0.0,1113.2857142857142,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,맨투맨 할인,Male,메타_전환,-,기타,셔츠,기타,754,42,0,0,0,0.0,0.0,0.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,시계-[ASC] 메종246_24.07 광고 세트,Female,메타_전환,-,메종,시계,기타,9673,464,22,0,0,0.0,0.0,439.6818181818182,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,시계-[ASC] 메종246_24.07 광고 세트,Male,메타_전환,-,메종,시계,기타,570,41,4,0,0,0.0,0.0,142.5,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,시계-[ASC] 메종246_24.07 광고 세트,Unknown,메타_전환,-,메종,시계,기타,80,3,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,신규_투포식스_룩북이미지(리타겟),Female,메타_전환,-,투포식스,기타,기타,8703,131,0,0,0,0.0,0.0,0.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,트위드자켓 가방 추천,Female,메타_전환,-,기타,가방,기타,8534,493,19,0,0,0.0,0.0,449.1578947368421,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,트위드자켓 가방 추천,Male,메타_전환,-,기타,가방,기타,529,24,3,0,0,0.0,0.0,176.33333333333334,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,트위드자켓 가방 추천,Unknown,메타_전환,-,기타,가방,기타,4,1,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,패딩백 할인,Female,메타_전환,-,기타,기타,기타,17786,941,31,0,0,0.0,0.0,573.741935483871,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,패딩백 할인,Male,메타_전환,-,기타,기타,기타,762,46,2,0,0,0.0,0.0,381.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-01,패딩백 할인,Unknown,메타_전환,-,기타,기타,기타,31,1,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,1. 팝업스토어_홍보_241028-241104,Female,메타_인지,-,기타,기타,기타,555,447,0,0,0,0.0,0.0,0.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,1. 팝업스토어_홍보_241028-241104,Male,메타_인지,-,기타,기타,기타,869,668,3,0,0,0.0,0.0,289.6666666666667,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,1. 팝업스토어_홍보_241028-241104,Unknown,메타_인지,-,기타,기타,기타,22,16,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,2. 팝업스토어_릴스홍보_241101-241107,Female,메타_인지,-,기타,기타,기타,874,684,1,0,0,0.0,0.0,874.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,2. 팝업스토어_릴스홍보_241101-241107,Male,메타_인지,-,기타,기타,기타,237,171,0,0,0,0.0,0.0,0.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,2. 팝업스토어_릴스홍보_241101-241107,Unknown,메타_인지,-,기타,기타,기타,5,5,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,맨투맨 할인,Female,메타_전환,-,기타,셔츠,기타,5024,126,3,0,0,0.0,0.0,1674.6666666666667,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,맨투맨 할인,Male,메타_전환,-,기타,셔츠,기타,153,8,0,0,0,0.0,0.0,0.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,시계-[ASC] 메종246_24.07 광고 세트,Female,메타_전환,-,메종,시계,기타,823,46,2,0,0,0.0,0.0,411.5,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,시계-[ASC] 메종246_24.07 광고 세트,Male,메타_전환,-,메종,시계,기타,9,3,0,0,0,0.0,0.0,0.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,신규_투포식스_룩북이미지,Female,메타_전환,-,투포식스,기타,기타,0,0,0,0,0,0.0,0.0,0.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,신규_투포식스_룩북이미지(리타겟),Female,메타_전환,-,투포식스,기타,기타,2105,24,0,0,0,0.0,0.0,0.0,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,트위드자켓 가방 추천,Female,메타_전환,-,기타,가방,기타,1697,82,2,0,0,0.0,0.0,848.5,여성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,트위드자켓 가방 추천,Male,메타_전환,-,기타,가방,기타,45,6,0,0,0,0.0,0.0,0.0,남성,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,트위드자켓 가방 추천,Unknown,메타_전환,-,기타,가방,기타,10,2,0,0,0,0.0,0.0,0.0,알 수 없음,전환
2024-11,2024-10-28/2024-11-03,2024-11-02,패딩백 할인,Female,메타_전환,-,기타,기타,기타,2903,210,4,0,0,0.0,0.0,725.75,여성,전환
