월,주,일,광고세트,기기유형,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기유형_통합,유형구분_통합
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,Android Smartphone,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,1.91,347,8,0,0.0,0.0,0.0,0.23875,안드로이드,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,Android Tablet,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.04,8,0,0,0.0,0.0,0.0,0.0,안드로이드,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,Desktop,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.02,11,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,iPhone,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,1.0,88,4,0,0.0,0.0,0.0,0.25,애플,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,Android Smartphone,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,5.83,838,71,0,0.0,0.0,0.0,0.08211267605633803,안드로이드,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,Android Tablet,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.03,5,0,0,0.0,0.0,0.0,0.0,안드로이드,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,Desktop,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.05,11,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,iPad,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.01,3,0,0,0.0,0.0,0.0,0.0,애플,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,iPhone,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.56,107,10,0,0.0,0.0,0.0,0.05600000000000001,애플,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-09,메타-트래픽-안토메-25SS컬렉션런칭,Android Smartphone,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,9.08,1543,172,0,0.0,0.0,0.0,0.0527906976744186,안드로이드,트래픽
