월,주,일,광고세트,플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-02,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,9508,466,42,1,210760,2216.6596550273453,9508.0,226.38095238095238,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,49730,1745,178,4,542000,1089.8853810577116,12432.5,279.3820224719101,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,파트너쉽 광고 세트,Facebook,메타_전환,타겟팅,앳드맹,기타,파트너쉽,469,9,1,0,0,0.0,0.0,469.0,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,49778,1885,213,1,149700,300.7352645747117,49778.0,233.69953051643193,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,파트너쉽 광고 세트,Facebook,메타_전환,타겟팅,앳드맹,기타,파트너쉽,545,17,3,1,28000,5137.614678899083,545.0,181.66666666666666,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,49493,1884,177,3,350700,708.585052431657,16497.666666666668,279.6214689265537,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,파트너쉽 광고 세트,Facebook,메타_전환,타겟팅,앳드맹,기타,파트너쉽,203,11,0,0,0,0.0,0.0,0.0,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,25682,708,86,6,573000,2231.1346468343586,4280.333333333333,298.6279069767442,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,파트너쉽 광고 세트,Facebook,메타_전환,타겟팅,앳드맹,기타,파트너쉽,307,11,2,0,0,0.0,0.0,153.5,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,28223,993,97,2,83900,297.27527194132443,14111.5,290.9587628865979,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,파트너쉽 광고 세트,Facebook,메타_전환,타겟팅,앳드맹,기타,파트너쉽,249,14,7,0,0,0.0,0.0,35.57142857142857,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,파트너쉽 광고 세트,Instagram,메타_전환,타겟팅,앳드맹,기타,파트너쉽,28019,1122,104,2,200160,714.3723901638174,14009.5,269.41346153846155,전환
