월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,Desktop,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.02,11,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,Mobile app,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,2.95,442,12,0,0.0,0.0,0.0,0.24583333333333335,앱,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-07,메타-트래픽-안토메-25SS컬렉션런칭,Mobile web,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.0,1,0,0,0.0,0.0,0.0,0.0,모바일웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,Desktop,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.05,11,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,Mobile app,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,6.28,941,79,0,0.0,0.0,0.0,0.07949367088607595,앱,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-08,메타-트래픽-안토메-25SS컬렉션런칭,Mobile web,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.15,12,2,0,0.0,0.0,0.0,0.075,모바일웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-09,메타-트래픽-안토메-25SS컬렉션런칭,Desktop,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.04,5,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-09,메타-트래픽-안토메-25SS컬렉션런칭,Mobile app,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,9.55,1664,180,0,0.0,0.0,0.0,0.05305555555555556,앱,트래픽
2025-03,2025-03-03/2025-03-09,2025-03-09,메타-트래픽-안토메-25SS컬렉션런칭,Mobile web,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.06,6,1,0,0.0,0.0,0.0,0.06,모바일웹,트래픽
2025-03,2025-03-10/2025-03-16,2025-03-10,메타-트래픽-안토메-25SS컬렉션런칭,Desktop,메타_트래픽,타겟팅,안토메,전제품,25SS컬렉션,0.01,12,0,0,0.0,0.0,0.0,0.0,웹,트래픽
