연령_통합,일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,type
19세 ~ 24세,2025-10-24,2366.0,311.0,6.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-10-25,449.0,67.0,1.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-10-28,3634.0,417.0,9.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-01,4358.0,491.0,7.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-02,949.0,146.0,2.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-03,1550.0,133.0,6.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-04,1196.0,96.0,2.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-05,1321.0,109.0,1.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-06,1242.0,150.0,2.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-07,1232.0,112.0,2.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-08,1146.0,87.0,5.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-09,1103.0,76.0,2.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-17,1711.0,141.0,5.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-18,1614.0,146.0,1.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-19,1666.0,105.0,7.0,1.0,117000.0,7022.809123649459,1666.0,actual
19세 ~ 24세,2025-11-20,813.0,66.0,2.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-21,1554.0,63.0,0.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-22,490.0,32.0,3.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-23,760.0,69.0,4.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-24,659.0,55.0,0.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-25,852.0,76.0,1.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-26,887.0,99.0,3.0,0.0,0.0,0.0,0.0,actual
19세 ~ 24세,2025-11-27,872.0,67.0,3.0,0.0,0.0,0.0,0.0,actual
