기기플랫폼_통합,일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,예측_CPC,type
앱,2025-11-13,21745.0,1736.0,60.0,1.0,248000.0,1140.4920671418718,21745.0,362.4166666666667,actual
앱,2025-11-14,1607.0,140.0,7.0,1.0,169000.0,10516.490354698197,1607.0,229.57142857142858,actual
앱,2025-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
앱,2025-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
앱,2025-11-28,42707.0,3711.0,100.0,2.0,342720.0,802.4913948533028,21353.5,427.07,actual
앱,2025-11-29,43033.0,2790.0,90.0,1.0,452300.0,1051.0538424000185,43033.0,478.14444444444445,actual
앱,2025-11-30,31198.0,1326.0,54.0,3.0,511720.0,1640.2333482915574,10399.333333333334,577.7407407407408,actual
앱,2025-12-01,35416.0,1755.0,53.0,2.0,101120.0,285.5206686243506,17708.0,668.2264150943396,actual
앱,2025-12-02,28550.0,1036.0,29.0,1.0,171360.0,600.2101576182137,28550.0,984.4827586206897,actual
앱,2025-12-03,30995.0,1199.0,40.0,0.0,0.0,0.0,0.0,774.875,actual
앱,2025-12-04,27602.0,1190.0,32.0,1.0,171360.0,620.8245779291356,27602.0,862.5625,actual
앱,2025-12-05,29919.0,1166.0,33.0,2.0,218930.0,731.7423710685517,14959.5,906.6363636363636,actual
앱,2025-12-06,24693.0,1069.0,32.0,6.0,629600.0,2549.710444255457,4115.5,771.65625,actual
앱,2025-12-07,38685.0,2388.0,65.0,0.0,0.0,0.0,0.0,595.1538461538462,actual
앱,2025-12-08,20993.0,1316.0,27.0,0.0,0.0,0.0,0.0,777.5185185185185,actual
앱,2025-12-09,31402.0,1763.0,45.0,3.0,339730.0,1081.8737660021654,10467.333333333334,697.8222222222222,actual
앱,2025-12-10,29658.0,1728.0,29.0,0.0,0.0,0.0,0.0,1022.6896551724138,actual
앱,2025-12-11,31744.0,1676.0,43.0,0.0,0.0,0.0,0.0,738.2325581395348,actual
앱,2025-12-12,29780.0,1526.0,44.0,2.0,221920.0,745.1981195433176,14890.0,676.8181818181819,actual
앱,2025-12-13,27208.0,1744.0,55.0,2.0,160640.0,590.4145839458982,13604.0,494.6909090909091,actual
앱,2025-12-14,32769.0,1988.0,49.0,1.0,101120.0,308.58433275351706,32769.0,668.7551020408164,actual
앱,2025-12-15,32108.0,1807.0,68.0,1.0,171360.0,533.698766662514,32108.0,472.1764705882353,actual
앱,2025-12-16,30702.0,1636.0,57.0,1.0,171360.0,558.1395348837209,30702.0,538.6315789473684,actual
앱,2025-12-17,30046.0,1550.0,60.0,1.0,169000.0,562.4708779870865,30046.0,500.76666666666665,actual
앱,2025-12-18,29755.0,1526.0,76.0,4.0,675920.0,2271.6182154259786,7438.75,391.5131578947368,actual
앱,2025-12-19,28082.0,1682.0,65.0,0.0,0.0,0.0,0.0,432.03076923076924,actual
앱,2025-12-20,26233.0,1195.0,55.0,1.0,167552.0,638.7069721343346,26233.0,476.96363636363634,actual
앱,2025-12-21,33831.0,1669.0,83.0,1.0,167552.0,495.2617421891165,33831.0,407.6024096385542,actual
앱,2025-12-22,2269.0,179.0,5.0,0.0,0.0,0.0,0.0,453.8,actual
앱,2025-12-23,25732.0,1405.0,85.0,0.0,0.0,0.0,0.0,302.7294117647059,actual
앱,2025-12-24,23093.361065017438,40.62243332420542,0.0,1.7441100512775263,174946.8368431122,757.56333757812,13240.770585607259,0.0,forecast
앱,2025-12-25,23392.33862819631,0.0,0.0,1.8294159943990338,247251.3297792008,1056.9756778451072,12786.779332756809,0.0,forecast
앱,2025-12-26,26323.777499933127,774.970804117306,0.0,1.1054131669595684,180288.40565119855,684.8880471340276,23813.519041334115,0.0,forecast
앱,2025-12-27,24437.721126499935,321.82005008592523,0.0,2.2658230379279463,396607.6553721088,1622.9322420003919,10785.36175042504,0.0,forecast
앱,2025-12-28,25450.22416750346,685.4995829739993,0.0,2.0245705084020176,257492.44269093685,1011.7492128800984,12570.678107719343,0.0,forecast
앱,2025-12-29,19229.588759430142,174.75819590813816,0.0,2.6946164875213214,377019.1523923488,1960.6199441340602,7136.298931028487,0.0,forecast
앱,2025-12-30,21569.859268484408,0.0,0.0,1.787564057600886,259735.35023043677,1204.158761526713,12066.621711690494,0.0,forecast
앱,2025-12-31,21157.04215802372,0.0,0.0,1.8257969497458992,183615.0844947133,867.86746050453,11587.839579296153,0.0,forecast
앱,2026-01-01,21456.0197212055,0.0,0.0,1.9111028928685914,255919.57743110944,1192.763526303893,11227.035342403633,0.0,forecast
앱,2026-01-02,24387.458592951964,306.38385375878823,0.0,1.1871000654301407,188956.65330321406,774.8107601413744,20543.726096178143,0.0,forecast
앱,2026-01-03,22501.40221951874,0.0,0.0,2.3475099363950136,405275.90302376635,1801.113988674944,9585.221289445672,0.0,forecast
앱,2026-01-04,23513.905260515647,216.91263261397683,0.0,2.106257406871559,266160.6903427801,1131.9289050199368,11163.832674868092,0.0,forecast
앱,2026-01-05,17293.269852463516,0.0,0.0,2.7763033859917203,385687.400044483,2230.2745711768316,6228.883320072098,0.0,forecast
앱,2026-01-06,19633.54036149336,0.0,0.0,1.8692509560733128,268403.5978828936,1367.0667283690977,10503.426678853775,0.0,forecast
앱,2026-01-07,19220.72325104239,0.0,0.0,1.907483848208199,192283.33214533358,1000.3959249291287,10076.480211928105,0.0,forecast
앱,2026-01-08,19519.700814230833,0.0,0.0,1.9927897913391983,264587.82508285536,1355.491191186484,9795.162991633537,0.0,forecast
앱,2026-01-09,22451.139685961312,0.0,0.0,1.2687869638988594,197624.90095498296,880.2444050470976,17694.96402845371,0.0,forecast
앱,2026-01-10,20565.083312532577,0.0,0.0,2.4291968348641717,413944.1506755805,2012.8493737894005,8465.795367991443,0.0,forecast
앱,2026-01-11,21577.586353528957,0.0,0.0,2.187944305340285,274828.9379943383,1273.6778502077027,9862.036387700946,0.0,forecast
앱,2026-01-12,15356.950945473054,0.0,0.0,2.857990284460072,394355.647696125,2567.9293311304987,5373.339100897004,0.0,forecast
앱,2026-01-13,17697.221454507137,0.0,0.0,1.950937854539995,277071.8455341465,1565.623429906177,9071.13540973344,0.0,forecast
