상품명,일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,예측_CPC,type
시계,2025-09-28,31392.0,1190.0,67.0,0.0,0.0,0.0,0.0,468.53731343283584,actual
시계,2025-09-29,0.0,0.0,0.0,1.0,126700.0,0.0,0.0,0.0,actual
시계,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-10-02,77220.0,4240.0,93.0,0.0,0.0,0.0,0.0,830.3225806451613,actual
시계,2025-10-03,77390.0,3393.0,105.0,0.0,0.0,0.0,0.0,737.047619047619,actual
시계,2025-10-04,77589.0,4703.0,244.0,0.0,0.0,0.0,0.0,317.98770491803276,actual
시계,2025-10-05,33321.0,1686.0,108.0,0.0,0.0,0.0,0.0,308.52777777777777,actual
시계,2025-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-10-22,76779.0,3557.0,114.0,1.0,268200.0,349.3142656195053,76779.0,673.5,actual
시계,2025-10-23,68113.0,2661.0,118.0,0.0,0.0,0.0,0.0,577.228813559322,actual
시계,2025-10-24,76131.0,3269.0,135.0,0.0,0.0,0.0,0.0,563.9333333333333,actual
시계,2025-10-25,17021.0,742.0,33.0,0.0,0.0,0.0,0.0,515.7878787878788,actual
시계,2025-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-10-28,49222.0,2398.0,76.0,0.0,0.0,0.0,0.0,647.6578947368421,actual
시계,2025-10-29,0.0,0.0,0.0,1.0,78600.0,0.0,0.0,0.0,actual
시계,2025-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-11-03,0.0,0.0,0.0,1.0,41300.0,0.0,0.0,0.0,actual
시계,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
시계,2025-11-25,9238.0,385.0,14.0,0.0,0.0,0.0,0.0,659.8571428571429,actual
시계,2025-11-26,23320.0,952.0,66.0,0.0,0.0,0.0,0.0,353.3333333333333,actual
시계,2025-11-27,15840.0,612.0,30.0,0.0,0.0,0.0,0.0,528.0,actual
시계,2025-11-28,17692.0,823.0,43.0,0.0,0.0,0.0,0.0,411.4418604651163,actual
시계,2025-11-29,18761.0,1193.0,49.0,0.0,0.0,0.0,0.0,382.8775510204082,actual
시계,2025-11-30,24005.0,1156.0,70.0,0.0,0.0,0.0,0.0,342.92857142857144,actual
시계,2025-12-01,20075.0,1447.0,45.0,1.0,44300.0,220.67247820672478,20075.0,446.1111111111111,actual
시계,2025-12-02,19505.0,1903.0,44.0,0.0,0.0,0.0,0.0,443.29545454545456,actual
시계,2025-12-03,8571.0,643.0,14.0,0.0,0.0,0.0,0.0,612.2142857142857,actual
시계,2025-12-04,34922.36542975853,1848.986850893107,60.723061463253785,0.0,0.0,0.0,0.0,575.1087739687105,forecast
시계,2025-12-05,32227.37554705812,1689.1342956061517,52.05521400721575,1.5425925743143079,177605.1464488734,551.1002476436096,20891.696280453958,619.0998569824503,forecast
시계,2025-12-06,13921.628402713319,1201.6456838500048,38.22299229331928,0.0,0.0,0.0,0.0,364.22131202811613,forecast
시계,2025-12-07,6390.708978270144,632.4227151330306,19.690021572618456,0.0,0.0,0.0,0.0,324.5658698087593,forecast
시계,2025-12-08,19005.012098302457,1255.6684785405735,42.16557850396364,0.0,0.0,0.0,0.0,450.7233808381392,forecast
시계,2025-12-09,23049.583504719838,1439.8835806111028,39.19498164133143,0.0,0.0,0.0,0.0,588.0748641661274,forecast
시계,2025-12-10,30698.320314410455,1515.3816375753715,56.926147902766076,0.0,0.0,0.0,0.0,539.2657231408908,forecast
시계,2025-12-11,32533.00733568545,1788.7284597037196,54.36980934033303,0.0,0.0,0.0,0.0,598.3653010817451,forecast
시계,2025-12-12,29838.017452976987,1628.8759044167139,45.701961884310016,1.3659512318516933,152027.91007208434,509.51076193876366,21844.130857093893,652.8826383538844,forecast
시계,2025-12-13,11532.270308652563,1141.3872926607028,31.86974017047531,0.0,0.0,0.0,0.0,361.85642703595875,forecast
시계,2025-12-14,4001.350884202453,572.1643239441413,13.336769449733222,0.0,0.0,0.0,0.0,300.0239975118182,forecast
시계,2025-12-15,16615.654004236363,1195.41008735233,35.81232638109008,0.0,0.0,0.0,0.0,463.9646647755868,forecast
시계,2025-12-16,20660.225410654402,1379.6251894223124,32.8417295184605,0.0,0.0,0.0,0.0,629.0845736075254,forecast
시계,2025-12-17,28308.96222034954,1455.1232463870517,50.572895779919335,0.0,0.0,0.0,0.0,559.7654985694927,forecast
시계,2025-12-18,30143.649241622268,1728.470068515065,48.01655721746212,0.0,0.0,0.0,0.0,627.7761461552676,forecast
시계,2025-12-19,27448.659358895864,1568.6175132272758,39.34870976140432,1.1893098893938596,126450.6736958962,460.6806913318871,23079.484668949714,697.5745717034724,forecast
시계,2025-12-20,9142.91221456135,1081.1289014710012,25.516488047549217,0.0,0.0,0.0,0.0,358.31389482454654,forecast
시계,2025-12-21,1611.9927901167175,511.90593275474237,6.983517326834615,0.0,0.0,0.0,0.0,230.82820800379938,forecast
시계,2025-12-22,14226.295910170262,1135.1516961640866,29.45907425821654,0.0,0.0,0.0,0.0,482.917276540092,forecast
시계,2025-12-23,18270.867316591815,1319.3667982328066,26.488477395568424,0.0,0.0,0.0,0.0,689.7666122420675,forecast
시계,2025-12-24,25919.604126280785,1394.8648551971244,44.21964365699379,0.0,0.0,0.0,0.0,586.1558796659668,forecast
시계,2025-12-25,27754.291147559095,1668.211677326411,41.663305094591216,0.0,0.0,0.0,0.0,666.1567315542183,forecast
시계,2025-12-26,25059.3012648701,1508.3591220395022,32.99545763856422,1.0126685469221754,100873.43731796657,402.53890661898896,24745.80783715793,759.4773056149842,forecast
시계,2025-12-27,6753.55412048536,1020.8705102814995,19.16323592466417,0.0,0.0,0.0,0.0,352.42242735179985,forecast
시계,2025-12-28,0.0,451.64754156569484,0.630265203972904,0.0,0.0,0.0,0.0,0.0,forecast
시계,2025-12-29,11836.937816113235,1074.893304975358,23.1058221353443,0.0,0.0,0.0,0.0,512.2924320449355,forecast
시계,2025-12-30,15881.509222526378,1259.1084070440165,20.135225272697497,0.0,0.0,0.0,0.0,788.7425647062923,forecast
시계,2025-12-31,23530.24603221987,1334.6064640088046,37.86639153414707,0.0,0.0,0.0,0.0,621.4018573964413,forecast
시계,2026-01-01,25364.93305348235,1607.953286136673,35.310052971720005,0.0,0.0,0.0,0.0,718.3487680915474,forecast
시계,2026-01-02,22669.943170788974,1448.1007308500639,26.642205515658517,0.8360272044643424,75296.20094177857,332.1411102556287,27116.274506059897,850.9033967726541,forecast
가방,2025-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
가방,2025-10-28,36143.0,2593.0,55.0,0.0,0.0,0.0,0.0,657.1454545454545,actual
가방,2025-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
가방,2025-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
가방,2025-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,actual
가방,2025-11-01,44551.0,1494.0,53.0,0.0,0.0,0.0,0.0,840.5849056603773,actual
가방,2025-11-02,14794.0,425.0,29.0,0.0,0.0,0.0,0.0,510.13793103448273,actual
가방,2025-11-03,41183.0,1137.0,59.0,0.0,0.0,0.0,0.0,698.0169491525423,actual
가방,2025-11-04,51999.0,1072.0,64.0,1.0,160100.0,307.8905363564684,51999.0,812.484375,actual
가방,2025-11-05,30847.0,781.0,38.0,0.0,0.0,0.0,0.0,811.7631578947369,actual
가방,2025-11-06,30252.0,886.0,64.0,0.0,0.0,0.0,0.0,472.6875,actual
가방,2025-11-07,28602.0,851.0,49.0,0.0,0.0,0.0,0.0,583.7142857142857,actual
