유형구분,기간유형,요일,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,예측_CPC
전체,요일별,월요일,345581.502569581,6631.714549738912,193.46109491939535,3.8333942061981836,2575561.7322894046,745.283446347314,90150.26474731273,1786.3100729041457
전체,요일별,화요일,352825.16572169255,6705.557964476558,184.9950747539601,4.98955772023688,3352359.0932841543,950.1473871420172,70712.71353184027,1907.2138336166151
전체,요일별,수요일,313253.10973479715,6282.04217032961,147.67818416038227,3.0654814635256753,2059620.3583063127,657.4939862688053,102187.24642833693,2121.1874422466917
전체,요일별,목요일,289369.8042020545,7593.230850662283,153.44911255359543,3.7582370567101715,2525065.5224771462,872.6085050373816,76996.15533442657,1885.7704641399332
전체,요일별,금요일,288812.4924479943,7199.812333339691,167.29949803003936,3.4497043635547775,2317770.1192633663,802.5172663473762,83720.94011858599,1726.320137530459
전체,요일별,토요일,276894.8406199505,10493.298701158306,146.52388687809832,4.604595141300343,3093712.360561168,1117.2878315950331,60134.45962629303,1889.7590455699233
전체,요일별,일요일,365903.4180243392,9319.96459096405,198.0779958973787,4.21899434443438,2834636.8251668494,774.6953664636975,86727.6388997848,1847.2693868222916
전체,월별,10월,9039207.23686691,313331.81835288345,7221.987933268457,93.98492913908757,63146124.26532446,698.5803357597497,96177.1990431557,1251.6231431552717
전체,월별,11월,9597610.649230016,234675.75338702486,5049.38372192024,121.36408917345409,81541497.41341446,849.6020561112912,79081.14100797205,1900.7489186383568
전체,월별,12월,10034681.281346701,150219.94538431749,3032.9362835643874,142.62095981470682,95823457.37550615,954.9227791980873,70359.09234087165,3308.5697631450657
전체,분기별,Q4(10~12월),318572.2129715958,7758.083523602508,170.04786598614538,3.9774442014138716,2672345.322824945,838.8507264640856,80094.70324143131,1873.4267032645469
전체,일별,2025-10-01,277121.0955044159,9743.309757882966,239.41457072400942,1.7745178099568921,1192254.1535647868,430.2285798180198,156166.98460250898,1157.494694940157
전체,일별,2025-10-02,253238.17808825988,11055.616221510418,245.18549926135367,2.4673148485390355,1657727.1638621646,654.6118663373122,102637.15562616952,1032.8432099417205
전체,일별,2025-10-03,252681.25445168314,10663.319513194696,259.035884884056,2.1588236007810373,1450459.6067747595,574.0273887440713,117045.80881933382,975.4681462947995
전체,일별,2025-10-04,240763.99492327482,13957.952915516402,238.26027388124785,3.3137558239199563,2226429.6941962205,924.7353180469221,72655.92509422338,1010.5083445143475
전체,일별,2025-10-05,329772.96463060315,12785.808063548868,289.81438305603814,2.928155027232631,1967354.158921924,596.5783644895407,112621.41572547413,1137.8764613171
전체,일별,2025-10-06,309451.44983698317,10098.747280572923,285.19748223348194,2.542554889166557,1708279.0661587804,552.0345976917187,121708.85716391381,1085.0427129074208
전체,일별,2025-10-07,319704.55814566574,9882.376451434786,269.0867629427864,3.8062883458535812,2557349.9823703747,799.9103913949139,83993.78320718638,1188.1095697510837
전체,일별,2025-10-08,283143.92380438896,9171.60791223731,224.1251736038628,1.9897923939393996,1336891.764678034,472.15979305338396,142298.22400909846,1263.3294120938006
전체,일별,2025-10-09,259261.00638865717,10483.91437644692,229.89610212280027,2.6825445336689,1802334.6085587924,695.1815213803959,96647.41931947255,1127.7311968089457
전체,일별,2025-10-10,258704.082752434,10091.617668715897,243.74648772726098,2.3740083870604147,1595036.8850562163,616.5487873581731,108973.53360776076,1061.3653766445643
