일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,예측_CPC,type
2025-11-30,70020.0,805.0,20.0,5.0,3359375.0,4797.736361039702,14004.0,3501.0,actual
2025-12-01,543610.0,6995.0,125.0,5.0,3359375.0,617.9752028108386,108722.0,4348.88,actual
2025-12-02,517005.0,6300.0,145.0,20.0,13437500.0,2599.1044574037,25850.25,3565.551724137931,actual
2025-12-03,491870.0,5960.0,120.0,5.0,3359375.0,682.9802590115274,98374.0,4098.916666666667,actual
2025-12-04,358125.0,4770.0,75.0,15.0,10078125.0,2814.13612565445,23875.0,4775.0,actual
2025-12-05,311190.0,4030.0,50.0,5.0,3359375.0,1079.525370352518,62238.0,6223.8,actual
2025-12-06,309395.0,3735.0,65.0,5.0,3359375.0,1085.7883934775934,61879.0,4759.923076923077,actual
2025-12-07,452260.0,4680.0,95.0,5.0,3359375.0,742.7972847477115,90452.0,4760.631578947368,actual
2025-12-08,428710.0,4940.0,145.0,10.0,6718750.0,1567.2016048144433,42871.0,2956.6206896551726,actual
2025-12-09,375855.0,4055.0,65.0,5.0,3359375.0,893.7954796397546,75171.0,5782.384615384615,actual
2025-12-10,364340.0,5235.0,65.0,0.0,0.0,0.0,0.0,5605.2307692307695,actual
2025-12-11,259765.0,4005.0,55.0,9.0,6046875.0,2327.8251496544954,28862.777777777777,4723.0,actual
2025-12-12,360490.0,10565.0,145.0,0.0,0.0,0.0,0.0,2486.137931034483,actual
2025-12-13,361295.0,4555.0,80.0,10.0,6718750.0,1859.6299422909258,36129.5,4516.1875,actual
2025-12-14,502975.0,6000.0,205.0,0.0,0.0,0.0,0.0,2453.5365853658536,actual
2025-12-15,421645.0,4285.0,95.0,0.0,0.0,0.0,0.0,4438.368421052632,actual
2025-12-16,332530.0,3330.0,90.0,5.0,3359375.0,1010.2471957417375,66506.0,3694.777777777778,actual
2025-12-17,358835.0,4765.0,100.0,0.0,0.0,0.0,0.0,3588.35,actual
2025-12-18,365545.0,5115.0,110.0,0.0,0.0,0.0,0.0,3323.1363636363635,actual
2025-12-19,297185.0,4290.0,80.0,0.0,0.0,0.0,0.0,3714.8125,actual
2025-12-20,341785.0,4920.0,65.0,0.0,0.0,0.0,0.0,5258.2307692307695,actual
2025-12-21,441790.0,6280.0,125.0,0.0,0.0,0.0,0.0,3534.32,actual
2025-12-22,364395.0,4425.0,110.0,10.0,6718750.0,1843.8096022173743,36439.5,3312.681818181818,actual
2025-12-23,386740.0,4835.0,120.0,10.0,6718750.0,1737.27827480995,38674.0,3222.8333333333335,actual
2025-12-24,317655.0,4190.0,125.0,5.0,3359375.0,1057.5545796540273,63531.0,2541.24,actual
2025-12-25,284250.0,4620.0,95.0,0.0,0.0,0.0,0.0,2992.1052631578946,actual
2025-12-26,240640.0,3355.0,70.0,10.0,6718750.0,2792.033743351064,24064.0,3437.714285714286,actual
2025-12-27,215700.0,3450.0,115.0,10.0,6718750.0,3114.8585999072784,21570.0,1875.6521739130435,actual
2025-12-28,368261.0,6441.0,140.0,5.0,3359375.0,912.2266544651754,73652.2,2630.4357142857143,actual
2025-12-29,30220.0,608.0,5.0,0.0,0.0,0.0,0.0,6044.0,actual
2025-12-30,362221.5451456619,7034.409235038044,172.2869551666876,6.92826271902423,4654926.5143444035,1285.1048140917446,52281.72773400211,2102.4316367725733,forecast
2025-12-31,340318.4295781729,6533.803836573133,162.07337737468524,7.657086610010734,5144605.0661009615,1511.7033398625329,44444.89750621952,2099.7799582556754,forecast
2026-01-01,323811.220479127,6475.897752202288,143.18572018133935,7.812602184214898,5249092.092519385,1621.034652459717,41447.294108149625,2261.4770528026975,forecast
2026-01-02,334781.70444515656,7304.212005062411,149.3069513767655,8.09977578308498,5442036.85426022,1625.5478665656074,41332.21874416473,2242.2378955441845,forecast
2026-01-03,323810.023655783,8637.363283986215,162.25090276136572,6.498640320842738,4366273.965566214,1348.4060549674823,49827.34967147583,1995.736345036145,forecast
2026-01-04,384420.4763656855,8643.872171982144,196.349554329343,8.156868678463468,5480396.143342642,1425.6254492878095,47128.437580547135,1957.8372748475178,forecast
2026-01-05,353075.0329538295,6722.473962206481,155.66557703702705,6.718332268448865,4513879.492864082,1278.4476588732196,52553.97006962084,2268.1638399082035,forecast
2026-01-06,366569.0601491225,7059.835115675929,172.39079574049103,6.937596025228229,4661197.329450217,1271.574127820284,52838.05208837643,2126.3841759912652,forecast
2026-01-07,344665.94458164147,6559.22971721191,162.17721794853782,7.666419916223053,5150875.881212364,1494.454547131003,44957.87451614638,2125.242675521855,forecast
2026-01-08,328158.73548265925,6501.323632842573,143.28956075523243,7.821935490428884,5255362.907631907,1601.4697581956075,41953.64892541015,2290.178947810586,forecast
2026-01-09,339129.219448533,7329.637885700701,149.41079195056483,8.109109089297469,5448307.669371736,1606.5580188670776,41820.77410897347,2269.777269909257,forecast
2026-01-10,328157.5386592401,8662.789164625097,162.35474333521935,6.50797362705817,4372544.780679707,1332.4529427374125,50423.919558441536,2021.2377656357235,forecast
2026-01-11,388767.9913691533,8669.298052618937,196.45339490317315,8.166201984678175,5486666.958455648,1411.295960640392,47606.95266888803,1978.9324158066452,forecast
2026-01-12,357422.54795721645,6747.899842844739,155.76941761083094,6.727665574660553,4520150.307975059,1264.6516941388159,53127.276317573254,2294.561753130444,forecast
