유형구분,요일,평균_전환값
전체,월요일,5965487.122131147
전체,화요일,5606849.598196722
전체,수요일,5355445.3427419355
전체,목요일,5848750.970491803
전체,금요일,5429496.37885246
전체,토요일,5485249.124590164
전체,일요일,5975264.046065574
메타_전환,월요일,45695.10410916897
메타_전환,화요일,44676.45595200505
메타_전환,수요일,43507.6784806103
메타_전환,목요일,46412.80393700788
메타_전환,금요일,42495.37993596585
메타_전환,토요일,44388.32725236038
메타_전환,일요일,46921.342830740796
네이버_쇼핑검색,월요일,4662.330856472428
네이버_쇼핑검색,화요일,4552.6085192697765
네이버_쇼핑검색,수요일,4528.442453480358
네이버_쇼핑검색,목요일,4338.216560509554
네이버_쇼핑검색,금요일,3490.311373320223
네이버_쇼핑검색,토요일,3485.146831530139
네이버_쇼핑검색,일요일,3408.835562549174
