일 구분,promotion,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-13,파트너쉽,21855.0,1766,60,1.0,248000.0,actual,actual
2025-11-14,파트너쉽,1608.0,141,7,1.0,169000.0,actual,actual
2025-11-18,파트너쉽,0.0,0,0,0.0,0.0,actual,actual
2025-11-19,파트너쉽,0.0,0,0,0.0,0.0,actual,actual
2025-11-28,파트너쉽,42719.0,3715,100,2.0,342720.0,actual,actual
2025-11-29,파트너쉽,43065.0,2802,90,1.0,452300.0,actual,actual
2025-11-30,파트너쉽,31267.0,1329,55,3.0,511720.0,actual,actual
2025-12-01,파트너쉽,35511.0,1771,53,2.0,101120.0,actual,actual
2025-12-02,파트너쉽,28557.0,1038,29,1.0,171360.0,actual,actual
2025-12-03,파트너쉽,30995.0,1199,40,0.0,0.0,actual,actual
2025-12-04,파트너쉽,27602.0,1190,32,1.0,171360.0,actual,actual
2025-12-05,파트너쉽,29919.0,1166,33,2.0,218930.0,actual,actual
2025-12-06,파트너쉽,24693.0,1069,32,6.0,629600.0,actual,actual
2025-12-07,파트너쉽,38686.0,2389,65,0.0,0.0,actual,actual
2025-12-08,파트너쉽,20993.0,1316,27,0.0,0.0,actual,actual
2025-12-09,파트너쉽,31405.0,1765,45,3.0,339730.0,actual,actual
2025-12-10,파트너쉽,29753.0,1730,29,0.0,0.0,actual,actual
2025-12-11,파트너쉽,31806.0,1678,43,0.0,0.0,actual,actual
2025-12-12,파트너쉽,29786.0,1527,44,2.0,221920.0,actual,actual
2025-12-13,파트너쉽,27208.0,1744,55,2.0,160640.0,actual,actual
2025-12-14,파트너쉽,32769.0,1989,49,1.0,101120.0,actual,actual
2025-12-15,파트너쉽,32183.0,1812,68,1.0,171360.0,actual,actual
2025-12-16,파트너쉽,30724.0,1639,57,1.0,171360.0,actual,actual
2025-12-17,파트너쉽,30071.0,1556,60,1.0,169000.0,actual,actual
2025-12-18,파트너쉽,29770.0,1529,76,4.0,675920.0,actual,actual
2025-12-19,파트너쉽,28082.0,1682,65,0.0,0.0,actual,actual
2025-12-20,파트너쉽,26236.0,1197,55,1.0,167552.0,actual,actual
2025-12-21,파트너쉽,33840.0,1670,83,1.0,167552.0,actual,actual
2025-12-22,파트너쉽,2269.0,179,5,0.0,0.0,actual,actual
2025-12-23,파트너쉽,2185.0,177,4,0.0,0.0,actual,actual
2025-12-24,파트너쉽,24459.891609993163,1399,38,0.09191268184736745,20402.086775691227,forecast,prophet_full
2025-12-25,파트너쉽,25211.738532757714,1457,43,0.7937320652157592,134169.68404074194,forecast,prophet_full
2025-12-26,파트너쉽,28624.141606340032,1656,53,0.5625910927854765,94488.08816487905,forecast,prophet_full
2025-12-27,파트너쉽,25845.80665931192,1513,52,0.23890403539728605,26628.682868352113,forecast,prophet_full
2025-12-28,파트너쉽,30644.64479543516,1811,60,0.45201277292480285,66276.91095413301,forecast,prophet_full
2025-12-29,파트너쉽,27357.66058112157,1565,47,0.5424593501575864,56425.51390746399,forecast,prophet_full
2025-12-30,파트너쉽,23714.49438668833,1317,47,0.0,0.0,forecast,prophet_full
2025-12-31,파트너쉽,24403.093337686096,1391,37,0.038636065667495945,13248.854624977721,forecast,prophet_full
2026-01-01,파트너쉽,25154.940260448566,1449,43,0.7404554490340278,127016.45188977211,forecast,prophet_full
2026-01-02,파트너쉽,28567.343334039408,1648,52,0.5093144766045656,87334.8560140233,forecast,prophet_full
2026-01-03,파트너쉽,25789.008387009955,1504,51,0.18562741921683082,19475.45071757499,forecast,prophet_full
2026-01-04,파트너쉽,30587.84652312568,1803,59,0.39873615674489304,59123.678803413146,forecast,prophet_full
2026-01-05,파트너쉽,27300.862308857904,1557,46,0.4891827339776625,49272.28175685566,forecast,prophet_full
2026-01-06,파트너쉽,23657.696114394825,1309,46,0.0,0.0,forecast,prophet_full
2026-01-07,파트너쉽,24346.295065389477,1382,36,0.0,6095.622474271135,forecast,prophet_full
2026-01-08,파트너쉽,25098.141988154668,1440,42,0.6871788328536699,119863.21973903224,forecast,prophet_full
2026-01-09,파트너쉽,28510.545061736637,1639,52,0.4560378604236628,80181.62386313935,forecast,prophet_full
2026-01-10,파트너쉽,25732.210114711103,1496,51,0.13235080303624153,12322.218566766496,forecast,prophet_full
2026-01-11,파트너쉽,30531.04825083173,1794,58,0.34545954056448525,51970.44665263685,forecast,prophet_full
2026-01-12,파트너쉽,27244.06403654584,1548,45,0.435906117797098,42119.04960602687,forecast,prophet_full
2026-01-13,파트너쉽,23600.897842089114,1300,45,0.0,0.0,forecast,prophet_full
2026-01-14,파트너쉽,24289.496793082413,1374,36,0.0,0.0,forecast,prophet_full
2026-01-15,파트너쉽,25041.343715846782,1432,41,0.633902216673608,112709.9875882533,forecast,prophet_full
2026-01-16,파트너쉽,28453.746789438163,1631,51,0.4027612442427444,73028.39171231177,forecast,prophet_full
2026-01-17,파트너쉽,25675.411842405414,1487,50,0.07907418685586692,5168.986416002954,forecast,prophet_full
2026-01-18,파트너쉽,30474.249978530017,1786,57,0.2921829243843264,44817.21450188883,forecast,prophet_full
