Day,유입,활동,관심,결제진행,구매완료,CVR
2025-12-06,61,12,11,2,1,1.639344262295082
2025-12-07,98,28,18,1,1,1.0204081632653061
2025-12-08,191,67,43,5,2,1.0471204188481675
2025-12-09,107,51,25,4,1,0.9345794392523363
2025-12-10,119,50,26,4,0,0.0
2025-12-11,131,56,27,4,3,2.2900763358778624
2025-12-12,117,34,12,1,0,0.0
2025-12-13,74,17,12,1,2,2.7027027027027026
2025-12-14,143,33,16,1,0,0.0
2025-12-15,112,46,22,1,0,0.0
2025-12-16,110,52,23,4,1,0.9090909090909091
2025-12-17,169,43,17,7,0,0.0
2025-12-18,111,54,27,5,1,0.9009009009009009
2025-12-19,100,36,19,3,0,0.0
2025-12-20,64,27,10,2,0,0.0
2025-12-21,112,26,10,1,0,0.0
2025-12-22,101,45,21,3,2,1.9801980198019802
2025-12-23,144,62,31,6,2,1.3888888888888888
2025-12-24,154,58,30,5,1,0.6493506493506493
2025-12-25,78,21,13,0,1,1.282051282051282
2025-12-26,93,43,21,4,2,2.1505376344086025
2025-12-27,123,30,21,4,1,0.8130081300813009
2025-12-28,101,20,14,2,1,0.9900990099009901
2025-12-29,107,39,21,1,1,0.9345794392523363
2025-12-30,103,58,30,5,1,0.9708737864077669
2025-12-31,77,31,17,5,0,0.0
2026-01-01,138,30,16,0,0,0.0
2026-01-02,117,46,27,5,1,0.8547008547008548
2026-01-03,69,23,13,5,1,1.4492753623188406
2026-01-04,107,23,10,2,0,0.0
2026-01-05,9,3,1,0,0,0.0
