Day,funnel,Total users,New users,Returning users,New user %
2025-12-06,결제진행,2,0,2,0.0
2025-12-06,관심,11,0,11,0.0
2025-12-06,구매완료,1,0,1,0.0
2025-12-06,유입,61,19,42,31.147540983606557
2025-12-06,활동,12,0,12,0.0
2025-12-07,결제진행,1,0,1,0.0
2025-12-07,관심,18,0,18,0.0
2025-12-07,구매완료,1,0,1,0.0
2025-12-07,유입,98,31,67,31.63265306122449
2025-12-07,활동,28,0,28,0.0
2025-12-08,결제진행,5,0,5,0.0
2025-12-08,관심,43,0,43,0.0
2025-12-08,구매완료,2,0,2,0.0
2025-12-08,유입,191,52,139,27.225130890052355
2025-12-08,활동,67,0,67,0.0
2025-12-09,결제진행,4,0,4,0.0
2025-12-09,관심,25,0,25,0.0
2025-12-09,구매완료,1,0,1,0.0
2025-12-09,유입,107,30,77,28.037383177570092
2025-12-09,활동,51,0,51,0.0
2025-12-10,결제진행,4,0,4,0.0
2025-12-10,관심,26,0,26,0.0
2025-12-10,유입,119,31,88,26.05042016806723
2025-12-10,활동,50,0,50,0.0
2025-12-11,결제진행,4,0,4,0.0
2025-12-11,관심,27,0,27,0.0
2025-12-11,구매완료,3,0,3,0.0
2025-12-11,유입,131,35,96,26.717557251908396
2025-12-11,활동,56,0,56,0.0
2025-12-12,결제진행,1,0,1,0.0
2025-12-12,관심,12,0,12,0.0
2025-12-12,유입,117,30,87,25.64102564102564
2025-12-12,활동,34,0,34,0.0
2025-12-13,결제진행,1,0,1,0.0
2025-12-13,관심,12,0,12,0.0
2025-12-13,구매완료,2,0,2,0.0
2025-12-13,유입,74,22,52,29.72972972972973
2025-12-13,활동,17,0,17,0.0
2025-12-14,결제진행,1,0,1,0.0
2025-12-14,관심,16,0,16,0.0
2025-12-14,유입,143,42,101,29.37062937062937
2025-12-14,활동,33,0,33,0.0
2025-12-15,결제진행,1,0,1,0.0
2025-12-15,관심,22,0,22,0.0
2025-12-15,유입,112,32,80,28.57142857142857
2025-12-15,활동,46,0,46,0.0
2025-12-16,결제진행,4,0,4,0.0
2025-12-16,관심,23,0,23,0.0
2025-12-16,구매완료,1,0,1,0.0
2025-12-16,유입,110,31,79,28.18181818181818
