월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 1. 1,2024. 12. 30,앳드맹,기타,파트너쉽,메타_전환,2025-01-02,OUTCOME_SALES,파트너쉽 캠페인,메인_신상_1,165,18,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.69,중,-0.57,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 1. 1,2024. 12. 30,앳드맹,트위스트 셔츠,파트너쉽,메타_전환,2025-01-02,OUTCOME_SALES,파트너쉽 캠페인,메인_트위스트셔츠_데일리,5167,243,23,0,0,9.47,225.0,0.0,0.0,0.0,-0.22,중,-0.33,중,-0.13,중,-0.34,중,-0.31,중,1.22,상,-0.27,중,-0.35,중,-0.16,중,-0.16,중
2025. 1. 1,2024. 12. 30,앳드맹,자켓,파트너쉽,메타_전환,2025-01-02,OUTCOME_SALES,파트너쉽 캠페인,세일_트위드 자켓_1,4176,205,19,1,210760,9.27,220.0,4176.0,5.26,5047.0,-0.31,중,-0.37,중,-0.2,중,0.47,중,0.75,중,1.17,상,-0.28,중,0.33,중,0.32,중,1.15,상
2025. 1. 1,2024. 12. 30,앳드맹,기타,파트너쉽,메타_전환,2025-01-03,OUTCOME_SALES,파트너쉽 캠페인,메인_신상_1,9188,313,31,0,0,9.9,296.0,0.0,0.0,0.0,0.17,중,-0.26,중,-0.0,중,-0.34,중,-0.31,중,1.32,상,-0.1,중,-0.35,중,-0.16,중,-0.16,중
2025. 1. 1,2024. 12. 30,앳드맹,트위스트 셔츠,파트너쉽,메타_전환,2025-01-03,OUTCOME_SALES,파트너쉽 캠페인,메인_트위스트셔츠_데일리,31691,1119,119,2,309900,10.63,266.0,15846.0,1.68,978.0,2.31,상,0.61,중,1.43,상,1.28,상,1.25,상,1.48,상,-0.17,중,2.23,상,-0.01,중,0.09,중
2025. 1. 1,2024. 12. 30,앳드맹,자켓,파트너쉽,메타_전환,2025-01-03,OUTCOME_SALES,파트너쉽 캠페인,세일_트위드 자켓_1,8851,313,28,2,232100,8.95,316.0,4426.0,7.14,2622.0,0.13,중,-0.26,중,-0.05,중,1.28,상,0.86,중,1.1,상,-0.06,중,0.37,중,0.49,중,0.52,중
2025. 1. 1,2024. 12. 30,앳드맹,기타,파트너쉽,메타_전환,2025-01-04,OUTCOME_SALES,파트너쉽 캠페인,메인_신상_1,8509,299,36,1,149700,12.04,236.0,8509.0,2.78,1759.0,0.1,중,-0.27,중,0.08,중,0.47,중,0.44,중,1.8,상,-0.24,중,1.04,상,0.09,중,0.29,중
2025. 1. 1,2024. 12. 30,앳드맹,트위스트 셔츠,파트너쉽,메타_전환,2025-01-04,OUTCOME_SALES,파트너쉽 캠페인,메인_트위스트셔츠_데일리,35210,1315,144,0,0,10.95,245.0,0.0,0.0,0.0,2.64,상,0.81,중,1.84,상,-0.34,중,-0.31,중,1.55,상,-0.22,중,-0.35,중,-0.16,중,-0.16,중
2025. 1. 1,2024. 12. 30,앳드맹,자켓,파트너쉽,메타_전환,2025-01-04,OUTCOME_SALES,파트너쉽 캠페인,세일_트위드 자켓_1,6528,280,34,0,0,12.14,192.0,0.0,0.0,0.0,-0.09,중,-0.29,중,0.05,중,-0.34,중,-0.31,중,1.82,상,-0.35,중,-0.35,중,-0.16,중,-0.16,중
2025. 1. 1,2024. 12. 30,앳드맹,기타,파트너쉽,메타_전환,2025-01-05,OUTCOME_SALES,파트너쉽 캠페인,메인_신상_1,11203,357,33,0,0,9.24,339.0,0.0,0.0,0.0,0.36,중,-0.21,중,0.03,중,-0.34,중,-0.31,중,1.17,상,-0.0,중,-0.35,중,-0.16,중,-0.16,중
