일,비용,노출,클릭,전환수,전환값,ROAS,CPA,CTR,CVR
2025-01-01,287765,7410,210.0,5,3359375,1167.402220561917,57553.0,2.834008097165992,2.380952380952381
2025-01-02,249825,5780,180.0,0,0,0.0,0.0,3.1141868512110724,0.0
2025-01-03,182910,4790,130.0,0,0,0.0,0.0,2.7139874739039667,0.0
2025-01-04,195575,7250,215.0,10,6718750,3435.3828454557074,19557.5,2.9655172413793105,4.651162790697675
2025-01-05,287775,7825,265.0,5,3359375,1167.36165407002,57555.0,3.386581469648562,1.8867924528301887
2025-01-06,249215,7025,185.0,0,0,0.0,0.0,2.6334519572953736,0.0
2025-01-07,158935,4365,125.0,5,3359375,2113.6785478340203,31787.0,2.86368843069874,4.0
2025-01-08,125440,2390,40.0,0,0,0.0,0.0,1.6736401673640167,0.0
2025-01-09,113130,2020,55.0,0,0,0.0,0.0,2.722772277227723,0.0
2025-01-10,124140,2770,35.0,0,0,0.0,0.0,1.263537906137184,0.0
2025-01-11,119395,3250,75.0,0,0,0.0,0.0,2.307692307692308,0.0
2025-01-12,204245,3595,180.0,5,3359375,1644.7771059267059,40849.0,5.006954102920723,2.7777777777777777
2025-01-13,170490,2840,110.0,0,0,0.0,0.0,3.873239436619718,0.0
2025-01-14,135215,2905,120.0,0,0,0.0,0.0,4.130808950086059,0.0
2025-01-15,129515,3150,80.0,10,6718750,5187.623055244566,12951.5,2.5396825396825395,12.5
2025-01-16,122905,2820,85.0,0,0,0.0,0.0,3.0141843971631204,0.0
2025-01-17,112885,5005,150.0,0,0,0.0,0.0,2.997002997002997,0.0
2025-01-18,150010,7690,330.0,0,0,0.0,0.0,4.291287386215865,0.0
2025-01-19,223200,8270,355.0,0,0,0.0,0.0,4.292623941958888,0.0
2025-01-20,166365,7460,290.0,0,0,0.0,0.0,3.8873994638069704,0.0
2025-01-21,192540,8780,225.0,5,3359375,1744.7673210761402,38508.0,2.562642369020501,2.2222222222222223
2025-01-22,190270,7765,270.0,0,0,0.0,0.0,3.477141017385705,0.0
2025-01-23,183605,8095,330.0,5,3359375,1829.6751177800168,36721.0,4.076590487955528,1.5151515151515151
2025-01-24,277990,14435,485.0,0,0,0.0,0.0,3.3598891582958093,0.0
2025-01-25,397475,17730,730.0,5,3359375,845.1789420718285,79495.0,4.117315284827975,0.684931506849315
2025-01-26,185310,8700,375.0,0,0,0.0,0.0,4.310344827586207,0.0
2025-01-28,590430,37265,1100.0,15,10078125,1706.912758498044,39362.0,2.9518314772574805,1.3636363636363635
2025-01-29,620715,33050,1240.0,10,6718750,1082.4210789170554,62071.5,3.7518910741301057,0.8064516129032258
2025-01-30,575270,36525,1165.0,15,10078125,1751.8947624593668,38351.333333333336,3.1895961670088977,1.2875536480686696
2025-01-31,535155,32515,985.0,5,3359375,627.7386925283329,107031.0,3.029371059510995,0.5076142131979695
2025-02-01,467645,34600,1010.0,25,16796875,3591.8004041527224,18705.8,2.9190751445086702,2.4752475247524752
2025-02-02,344730,20685,605.0,10,6718750,1948.9890639050852,34473.0,2.92482475223592,1.6528925619834711
2025-02-03,106585,8330,225.0,0,0,0.0,0.0,2.701080432172869,0.0
2025-02-04,193400,13045,475.0,10,6718750,3474.0175801447776,19340.0,3.641241855116903,2.1052631578947367
2025-02-05,205165,12470,480.0,0,0,0.0,0.0,3.8492381716118684,0.0
2025-02-06,111190,6830,220.0,0,0,0.0,0.0,3.22108345534407,0.0
2025-02-07,177205,12550,405.0,0,0,0.0,0.0,3.2270916334661357,0.0
2025-02-08,155130,11110,510.0,5,3359375,2165.5224650293303,31026.0,4.59045904590459,0.9803921568627451
2025-02-09,210670,13405,520.0,0,0,0.0,0.0,3.879149571055576,0.0
2025-02-10,55680,3555,100.0,0,0,0.0,0.0,2.8129395218002813,0.0
2025-02-11,96855,6945,220.0,0,0,0.0,0.0,3.1677465802735782,0.0
2025-02-12,134930,8835,320.0,0,0,0.0,0.0,3.6219581211092247,0.0
2025-02-13,126915,8290,350.0,10,6718750,5293.897490446362,12691.5,4.2219541616405305,2.857142857142857
2025-02-14,52510,4420,100.0,0,0,0.0,0.0,2.262443438914027,0.0
2025-02-15,193960,20275,435.0,0,0,0.0,0.0,2.1454993834771887,0.0
2025-02-16,197070,17590,535.0,0,0,0.0,0.0,3.0415008527572485,0.0
2025-02-17,192280,16100,490.0,5,3359375,1747.126586228417,38456.0,3.0434782608695654,1.0204081632653061
2025-02-18,191495,13840,530.0,5,3359375,1754.288623723857,38299.0,3.8294797687861273,0.9433962264150944
2025-02-19,173700,18070,500.0,0,0,0.0,0.0,2.7670171555063643,0.0
2025-02-20,154660,15740,505.0,0,0,0.0,0.0,3.2083862770012703,0.0
2025-02-21,153090,18575,460.0,0,0,0.0,0.0,2.4764468371467023,0.0
2025-02-22,160315,15045,475.0,0,0,0.0,0.0,3.1571950814223997,0.0
2025-02-23,225235,14540,470.0,0,0,0.0,0.0,3.2324621733149934,0.0
2025-02-24,177475,11050,500.0,0,0,0.0,0.0,4.524886877828054,0.0
2025-02-25,196395,11225,460.0,5,3359375,1710.5196160798394,39279.0,4.097995545657016,1.0869565217391304
2025-02-26,186315,10325,440.0,0,0,0.0,0.0,4.261501210653753,0.0
2025-02-27,179505,8830,365.0,0,0,0.0,0.0,4.133635334088336,0.0
2025-02-28,206915,9355,455.0,0,0,0.0,0.0,4.863709246392304,0.0
2025-03-01,170645,9735,440.0,0,0,0.0,0.0,4.519774011299435,0.0
2025-03-02,206665,13980,510.0,0,0,0.0,0.0,3.648068669527897,0.0
2025-03-03,196240,14845,450.0,0,0,0.0,0.0,3.031323678006063,0.0
2025-03-04,187785,10485,405.0,0,0,0.0,0.0,3.862660944206009,0.0
2025-03-05,174865,9590,440.0,0,0,0.0,0.0,4.588112617309697,0.0
2025-03-06,147310,6735,310.0,0,0,0.0,0.0,4.6028210838901265,0.0
2025-03-07,147420,6145,260.0,0,0,0.0,0.0,4.231082180634662,0.0
2025-03-08,114470,5665,335.0,0,0,0.0,0.0,5.913503971756398,0.0
2025-03-09,215235,9320,615.0,0,0,0.0,0.0,6.598712446351931,0.0
2025-03-10,159565,7525,425.0,0,0,0.0,0.0,5.647840531561462,0.0
2025-03-11,150230,6580,405.0,0,0,0.0,0.0,6.155015197568389,0.0
2025-03-12,156750,6775,370.0,0,0,0.0,0.0,5.461254612546126,0.0
2025-03-13,80850,4410,155.0,5,3359375,4155.071119356834,16170.0,3.5147392290249435,3.225806451612903
2025-03-14,100255,5610,190.0,0,0,0.0,0.0,3.3868092691622103,0.0
2025-03-15,84570,6035,180.0,0,0,0.0,0.0,2.9826014913007457,0.0
2025-03-16,115755,6155,210.0,0,0,0.0,0.0,3.4118602761982126,0.0
2025-03-17,116320,6735,275.0,0,0,0.0,0.0,4.083147735708983,0.0
2025-03-18,117025,6450,270.0,10,6718750,5741.294595171972,11702.5,4.186046511627907,3.7037037037037033
2025-03-19,104075,6470,250.0,5,3359375,3227.840499639683,20815.0,3.863987635239567,2.0
2025-03-20,100830,6210,255.0,5,3359375,3331.7217098085885,20166.0,4.1062801932367154,1.9607843137254901
2025-03-21,139225,7130,315.0,0,0,0.0,0.0,4.417952314165498,0.0
2025-03-22,159085,7890,340.0,0,0,0.0,0.0,4.309252217997465,0.0
2025-03-23,239500,11965,425.0,0,0,0.0,0.0,3.5520267446719602,0.0
2025-03-24,216170,10535,290.0,0,0,0.0,0.0,2.7527289985761745,0.0
2025-03-25,231485,9955,425.0,0,0,0.0,0.0,4.269211451531894,0.0
2025-03-26,206620,8920,345.0,0,0,0.0,0.0,3.867713004484305,0.0
2025-03-27,154100,5925,225.0,5,3359375,2179.9967553536662,30820.0,3.79746835443038,2.2222222222222223
2025-03-28,128265,4875,125.0,0,0,0.0,0.0,2.564102564102564,0.0
2025-03-29,104135,4750,175.0,5,3359375,3225.980698132232,20827.0,3.684210526315789,2.857142857142857
2025-03-30,164965,6430,240.0,0,0,0.0,0.0,3.7325038880248838,0.0
2025-03-31,362635,12160,225.0,0,0,0.0,0.0,1.8503289473684208,0.0
2025-04-01,619630,16130,375.0,5,3359375,542.1582234559334,123926.0,2.3248605083694978,1.3333333333333335
2025-04-02,545620,11635,370.0,10,6718750,1231.3973094827902,54562.0,3.180060163300387,2.7027027027027026
2025-04-03,461175,11585,325.0,10,6718750,1456.876456876457,46117.5,2.8053517479499352,3.076923076923077
2025-04-04,504685,14135,320.0,0,0,0.0,0.0,2.2638839759462326,0.0
2025-04-05,478415,11890,360.0,15,10078125,2106.5654295956438,31894.333333333332,3.027754415475189,4.166666666666666
2025-04-06,660140,14810,415.0,5,3359375,508.8882661253673,132028.0,2.802160702228224,1.2048192771084338
2025-04-07,503155,11795,315.0,5,3359375,667.6620524490465,100631.0,2.6706231454005933,1.5873015873015872
2025-04-08,439045,9220,290.0,0,0,0.0,0.0,3.14533622559653,0.0
2025-04-09,470020,12200,270.0,5,3359375,714.7302242457768,94004.0,2.2131147540983607,1.8518518518518516
2025-04-10,509640,11375,245.0,10,6718750,1318.3325484655836,50964.0,2.1538461538461537,4.081632653061225
2025-04-11,530255,10685,215.0,5,3359375,633.539523436837,106051.0,2.0121665886757136,2.3255813953488373
2025-04-12,471545,9360,210.0,0,0,0.0,0.0,2.2435897435897436,0.0
2025-04-13,629930,11795,365.0,10,6718750,1066.586763608655,62993.0,3.0945315811784653,2.73972602739726
2025-04-14,545405,11035,220.0,5,3359375,615.9413646739579,109081.0,1.9936565473493428,2.272727272727273
2025-04-15,557335,9140,200.0,5,3359375,602.7568697462029,111467.0,2.1881838074398248,2.5
2025-04-16,377090,8375,200.0,0,0,0.0,0.0,2.3880597014925375,0.0
2025-04-17,344445,13295,190.0,5,3359375,975.3008462889577,68889.0,1.4291086874764949,2.631578947368421
2025-04-18,721150,52160,240.0,0,0,0.0,0.0,0.4601226993865031,0.0
2025-04-19,717200,50820,220.0,0,0,0.0,0.0,0.4329004329004329,0.0
2025-04-20,503440,17100,260.0,0,0,0.0,0.0,1.5204678362573099,0.0
2025-04-21,416260,9085,215.0,0,0,0.0,0.0,2.3665382498624106,0.0
2025-04-22,250060,7210,225.0,5,3359375,1343.4275773814286,50012.0,3.1206657420249653,2.2222222222222223
2025-04-23,82210,3820,145.0,0,0,0.0,0.0,3.7958115183246073,0.0
2025-04-24,106620,5780,190.0,0,0,0.0,0.0,3.2871972318339098,0.0
2025-04-25,85170,5830,280.0,0,0,0.0,0.0,4.802744425385934,0.0
2025-04-26,59590,5460,280.0,0,0,0.0,0.0,5.128205128205128,0.0
2025-04-27,74390,7495,290.0,0,0,0.0,0.0,3.8692461641094065,0.0
2025-04-28,70410,7025,305.0,0,0,0.0,0.0,4.341637010676156,0.0
2025-04-29,66670,6335,310.0,0,0,0.0,0.0,4.89344909234412,0.0
2025-04-30,60660,5910,275.0,0,0,0.0,0.0,4.653130287648055,0.0
2025-05-01,59090,6150,260.0,0,0,0.0,0.0,4.227642276422764,0.0
2025-05-02,66430,3830,195.0,0,0,0.0,0.0,5.091383812010443,0.0
2025-05-03,102670,5065,135.0,0,0,0.0,0.0,2.665350444225074,0.0
2025-05-04,120330,5715,195.0,0,0,0.0,0.0,3.4120734908136483,0.0
2025-05-05,152050,5660,205.0,0,0,0.0,0.0,3.6219081272084805,0.0
2025-05-06,124665,5965,235.0,0,0,0.0,0.0,3.9396479463537304,0.0
2025-05-07,112995,4815,195.0,0,0,0.0,0.0,4.049844236760125,0.0
2025-05-08,106995,4420,175.0,0,0,0.0,0.0,3.959276018099547,0.0
2025-05-09,94455,3795,195.0,0,0,0.0,0.0,5.138339920948617,0.0
2025-05-10,67275,3725,170.0,5,3359375,4993.496841322929,13455.0,4.563758389261745,2.941176470588235
2025-05-11,110350,5215,220.0,0,0,0.0,0.0,4.218600191754554,0.0
2025-05-12,115875,4230,225.0,5,3359375,2899.1370010787487,23175.0,5.319148936170213,2.2222222222222223
2025-05-13,123545,2995,120.0,5,3359375,2719.1509166700394,24709.0,4.006677796327212,4.166666666666666
2025-05-14,142310,3745,170.0,0,0,0.0,0.0,4.539385847797063,0.0
2025-05-15,96835,3940,195.0,5,3359375,3469.174368771622,19367.0,4.949238578680204,2.564102564102564
2025-05-16,123035,4460,200.0,0,0,0.0,0.0,4.484304932735426,0.0
2025-05-17,152285,4795,175.0,5,3359375,2205.9789211018815,30457.0,3.64963503649635,2.857142857142857
2025-05-18,180595,5585,185.0,0,0,0.0,0.0,3.312444046553268,0.0
2025-05-19,199840,5920,165.0,5,3359375,1681.0323258606886,39968.0,2.7871621621621623,3.0303030303030303
2025-05-20,177285,4325,175.0,0,0,0.0,0.0,4.046242774566474,0.0
2025-05-21,146935,4460,190.0,0,0,0.0,0.0,4.260089686098654,0.0
2025-05-22,133925,3305,130.0,5,3359375,2508.4002240059735,26785.0,3.9334341906202726,3.8461538461538463
2025-05-23,142620,2080,45.0,0,0,0.0,0.0,2.1634615384615383,0.0
