월,주,일,캠페인이름,광고세트,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241202_uiux db수집,구분필요,타겟팅,기타,기타,기타,11276,172,2.0,0,0,0.0,0.0,5638.0,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241220_문어발전단지,구분필요,타겟팅,기타,기타,기타,11095,197,4.0,0,0,0.0,0.0,2773.75,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_메뉴판,구분필요,타겟팅,기타,기타,기타,5858,170,5.0,0,0,0.0,0.0,1171.6,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_에어드롭,구분필요,타겟팅,기타,기타,기타,6022,177,2.0,0,0,0.0,0.0,3011.0,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,[GM]241121_프라이싱_2_신디자인,구분필요,타겟팅,기타,기타,기타,12662,197,5.0,1,671875,5306.23124308956,12662.0,2532.4,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,구분필요,타겟팅,기타,기타,기타,10640,569,24.0,0,0,0.0,0.0,443.3333333333333,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241202_uiux db수집,구분필요,타겟팅,기타,기타,기타,9926,185,4.0,0,0,0.0,0.0,2481.5,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241220_문어발전단지,구분필요,타겟팅,기타,기타,기타,10090,160,3.0,0,0,0.0,0.0,3363.3333333333335,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_메뉴판,구분필요,타겟팅,기타,기타,기타,5568,142,1.0,0,0,0.0,0.0,5568.0,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_에어드롭,구분필요,타겟팅,기타,기타,기타,5085,103,3.0,0,0,0.0,0.0,1695.0,전환
