월,주,일,광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,성별_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Female,구분필요,-,기타,기타,기타,5341,29,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Male,구분필요,-,기타,기타,기타,5895,141,2.0,0,0,0.0,0.0,2947.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Unknown,구분필요,-,기타,기타,기타,40,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,3244,56,2.0,0,0,0.0,0.0,1622.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,7834,139,2.0,0,0,0.0,0.0,3917.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,17,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,Female,구분필요,-,기타,기타,기타,1578,36,2.0,0,0,0.0,0.0,789.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,Male,구분필요,-,기타,기타,기타,4202,132,3.0,0,0,0.0,0.0,1400.6666666666667,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,Unknown,구분필요,-,기타,기타,기타,78,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Female,구분필요,-,기타,기타,기타,1888,43,1.0,0,0,0.0,0.0,1888.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Male,구분필요,-,기타,기타,기타,4091,131,1.0,0,0,0.0,0.0,4091.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Unknown,구분필요,-,기타,기타,기타,43,3,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,Female,구분필요,-,기타,기타,기타,4688,259,11.0,0,0,0.0,0.0,426.1818181818182,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,Male,구분필요,-,기타,기타,기타,5535,289,12.0,0,0,0.0,0.0,461.25,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,Unknown,구분필요,-,기타,기타,기타,417,21,1.0,0,0,0.0,0.0,417.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,3038,50,3.0,0,0,0.0,0.0,1012.6666666666666,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,9267,143,2.0,1,671875,7250.188842127982,9267.0,4633.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,Unknown,구분필요,-,기타,기타,기타,357,4,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,Female,구분필요,-,기타,기타,기타,4024,39,1.0,0,0,0.0,0.0,4024.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,Male,구분필요,-,기타,기타,기타,5465,142,2.0,0,0,0.0,0.0,2732.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,Unknown,구분필요,-,기타,기타,기타,437,4,1.0,0,0,0.0,0.0,437.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,2919,46,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,7098,111,3.0,0,0,0.0,0.0,2366.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,73,3,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,Female,구분필요,-,기타,기타,기타,2482,36,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,Male,구분필요,-,기타,기타,기타,3048,104,1.0,0,0,0.0,0.0,3048.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,Unknown,구분필요,-,기타,기타,기타,38,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,Female,구분필요,-,기타,기타,기타,1575,26,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,Male,구분필요,-,기타,기타,기타,3479,75,2.0,0,0,0.0,0.0,1739.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,Unknown,구분필요,-,기타,기타,기타,31,2,1.0,0,0,0.0,0.0,31.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,Female,구분필요,-,기타,기타,기타,1293,108,2.0,0,0,0.0,0.0,646.5,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,Male,구분필요,-,기타,기타,기타,1979,124,2.0,0,0,0.0,0.0,989.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,Unknown,구분필요,-,기타,기타,기타,88,5,1.0,0,0,0.0,0.0,88.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,Female,구분필요,-,기타,기타,기타,4367,119,11.0,0,0,0.0,0.0,397.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,Male,구분필요,-,기타,기타,기타,2194,102,5.0,0,0,0.0,0.0,438.8,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,Unknown,구분필요,-,기타,기타,기타,110,6,2.0,0,0,0.0,0.0,55.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,3400,26,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,5040,71,2.0,0,0,0.0,0.0,2520.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Unknown,구분필요,-,기타,기타,기타,825,5,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,Female,구분필요,-,기타,기타,기타,1022,22,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,Male,구분필요,-,기타,기타,기타,2799,68,2.0,0,0,0.0,0.0,1399.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,Unknown,구분필요,-,기타,기타,기타,163,3,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,2598,33,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,5899,118,2.0,0,0,0.0,0.0,2949.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,6,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,Female,구분필요,-,기타,기타,기타,886,12,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,Male,구분필요,-,기타,기타,기타,902,36,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,Unknown,구분필요,-,기타,기타,기타,112,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
