월,주,일,광고세트,기기유형,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기유형_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Android Smartphone,구분필요,-,기타,기타,기타,6866,67,1.0,0,0,0.0,0.0,6866.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Desktop,구분필요,-,기타,기타,기타,5,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Other,구분필요,-,기타,기타,기타,25,1,0.0,0,0,0.0,0.0,0.0,Other,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,iPhone,구분필요,-,기타,기타,기타,4380,102,1.0,0,0,0.0,0.0,4380.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Android Smartphone,구분필요,-,기타,기타,기타,6351,81,3.0,0,0,0.0,0.0,2117.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Android Tablet,구분필요,-,기타,기타,기타,71,1,0.0,0,0,0.0,0.0,0.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,116,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Other,구분필요,-,기타,기타,기타,0,1,0.0,0,0,0.0,0.0,0.0,Other,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,iPad,구분필요,-,기타,기타,기타,9,1,0.0,0,0,0.0,0.0,0.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,iPhone,구분필요,-,기타,기타,기타,4548,111,1.0,0,0,0.0,0.0,4548.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,Android Smartphone,구분필요,-,기타,기타,기타,2357,59,1.0,0,0,0.0,0.0,2357.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,iPhone,구분필요,-,기타,기타,기타,3501,111,4.0,0,0,0.0,0.0,875.25,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Android Smartphone,구분필요,-,기타,기타,기타,2370,55,1.0,0,0,0.0,0.0,2370.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Android Tablet,구분필요,-,기타,기타,기타,38,1,0.0,0,0,0.0,0.0,0.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Desktop,구분필요,-,기타,기타,기타,143,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,iPhone,구분필요,-,기타,기타,기타,3471,119,1.0,0,0,0.0,0.0,3471.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,Android Smartphone,구분필요,-,기타,기타,기타,8520,330,17.0,0,0,0.0,0.0,501.1764705882353,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,Android Tablet,구분필요,-,기타,기타,기타,75,10,0.0,0,0,0.0,0.0,0.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,iPhone,구분필요,-,기타,기타,기타,2045,229,7.0,0,0,0.0,0.0,292.14285714285717,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,Android Smartphone,구분필요,-,기타,기타,기타,5708,79,3.0,1,671875,11770.760336370007,5708.0,1902.6666666666667,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,72,4,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,iPhone,구분필요,-,기타,기타,기타,6882,114,2.0,0,0,0.0,0.0,3441.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,Android Smartphone,구분필요,-,기타,기타,기타,6001,63,1.0,0,0,0.0,0.0,6001.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,Desktop,구분필요,-,기타,기타,기타,709,14,1.0,0,0,0.0,0.0,709.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,iPad,구분필요,-,기타,기타,기타,17,1,0.0,0,0,0.0,0.0,0.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,iPhone,구분필요,-,기타,기타,기타,3199,107,2.0,0,0,0.0,0.0,1599.5,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,Android Smartphone,구분필요,-,기타,기타,기타,7227,73,2.0,0,0,0.0,0.0,3613.5,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,47,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,iPhone,구분필요,-,기타,기타,기타,2816,84,1.0,0,0,0.0,0.0,2816.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,Android Smartphone,구분필요,-,기타,기타,기타,2828,60,1.0,0,0,0.0,0.0,2828.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,Desktop,구분필요,-,기타,기타,기타,179,5,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,iPhone,구분필요,-,기타,기타,기타,2561,77,0.0,0,0,0.0,0.0,0.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,Android Smartphone,구분필요,-,기타,기타,기타,2663,39,0.0,0,0,0.0,0.0,0.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,Desktop,구분필요,-,기타,기타,기타,90,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,iPhone,구분필요,-,기타,기타,기타,2332,61,3.0,0,0,0.0,0.0,777.3333333333334,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,Android Smartphone,구분필요,-,기타,기타,기타,2176,119,3.0,0,0,0.0,0.0,725.3333333333334,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,Android Tablet,구분필요,-,기타,기타,기타,88,3,0.0,0,0,0.0,0.0,0.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,Desktop,구분필요,-,기타,기타,기타,5,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,iPhone,구분필요,-,기타,기타,기타,1003,112,2.0,0,0,0.0,0.0,501.5,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,iPod,구분필요,-,기타,기타,기타,88,1,0.0,0,0,0.0,0.0,0.0,iPod,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,Android Smartphone,구분필요,-,기타,기타,기타,3201,109,7.0,0,0,0.0,0.0,457.2857142857143,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,Android Tablet,구분필요,-,기타,기타,기타,134,2,1.0,0,0,0.0,0.0,134.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,iPad,구분필요,-,기타,기타,기타,390,1,1.0,0,0,0.0,0.0,390.0,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,iPhone,구분필요,-,기타,기타,기타,2946,115,9.0,0,0,0.0,0.0,327.3333333333333,애플,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Android Smartphone,구분필요,-,기타,기타,기타,3908,36,1.0,0,0,0.0,0.0,3908.0,안드로이드,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,998,5,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Other,구분필요,-,기타,기타,기타,0,1,0.0,0,0,0.0,0.0,0.0,Other,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,iPhone,구분필요,-,기타,기타,기타,4359,60,1.0,0,0,0.0,0.0,4359.0,애플,전환
