월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Desktop,구분필요,-,기타,기타,기타,5,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Mobile app,구분필요,-,기타,기타,기타,11056,164,2.0,0,0,0.0,0.0,5528.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241202_uiux db수집,Mobile web,구분필요,-,기타,기타,기타,215,6,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,116,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Mobile app,구분필요,-,기타,기타,기타,10970,194,4.0,0,0,0.0,0.0,2742.5,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241220_문어발전단지,Mobile web,구분필요,-,기타,기타,기타,9,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_메뉴판,Mobile app,구분필요,-,기타,기타,기타,5858,170,5.0,0,0,0.0,0.0,1171.6,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Desktop,구분필요,-,기타,기타,기타,143,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Mobile app,구분필요,-,기타,기타,기타,5876,174,2.0,0,0,0.0,0.0,2938.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_에어드롭,Mobile web,구분필요,-,기타,기타,기타,3,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,Mobile app,구분필요,-,기타,기타,기타,10499,510,23.0,0,0,0.0,0.0,456.4782608695652,앱,전환
